,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
1,2016.0,0.0,257.12,5060.65,8269.24,0.0,0.0,0.01,0.0,0.15,99.98,62.0,1.39
2,2017.0,0.0,242.36,5250.13,8269.24,0.0,0.0,0.01,0.0,0.2,94.46,60.93,1.42
3,2018.0,0.0,240.03,4888.7,8388.14,0.0,0.0,0.02,0.0,0.2,98.02,61.57,1.45
4,2019.0,0.0,240.03,4893.39,8388.14,0.0,0.0,0.02,0.0,0.22,97.03,60.72,1.68
5,2020.0,0.0,240.03,5679.4,8388.14,0.0,0.01,0.02,0.0,0.23,96.03,59.87,1.7
6,2021.0,0.0,228.03,5663.68,8388.14,0.0,0.02,0.02,0.0,0.23,97.38,61.02,1.71
7,2022.0,0.0,216.02,5591.7,8388.14,0.18,0.03,0.02,0.0,0.24,98.72,62.16,1.72
8,2023.0,0.0,204.03,5304.68,8388.14,0.57,0.06,0.04,0.0,0.24,100.06,63.3,1.7
9,2024.0,0.0,192.03,5536.49,8388.14,0.63,0.08,0.04,58.32,0.24,101.4,64.44,1.75
10,2025.0,2279.76,180.02,5394.42,8388.14,0.88,0.09,0.04,116.65,3.25,102.75,65.58,1.76
11,2026.0,4559.52,168.02,4951.35,8388.14,0.88,0.1,0.05,116.65,1.35,103.05,65.84,1.71
12,2027.0,4559.52,156.01,4975.54,8388.14,0.88,0.11,0.05,116.65,0.0,94.08,58.21,1.73
13,2028.0,4559.52,144.0,4942.12,8388.14,0.88,0.12,0.05,116.65,0.0,85.1,50.58,1.75
14,2029.0,4559.52,132.01,4826.03,8388.14,0.88,0.13,0.06,116.65,0.0,76.12,42.94,1.77
15,2030.0,4559.52,120.0,4683.94,8388.14,0.88,0.15,0.06,116.65,0.0,54.43,24.5,1.77
16,2031.0,4559.52,108.0,4929.26,8388.14,0.88,0.19,0.07,116.65,0.0,0.0,0.0,1.81
17,2032.0,4559.52,96.0,5212.36,8388.14,0.88,0.23,0.07,116.65,0.0,0.0,0.0,1.85
18,2033.0,4559.52,261.13,5362.55,8388.14,0.88,0.25,0.08,116.65,0.0,0.0,0.0,1.89
19,2034.0,5072.66,460.9,5387.69,8388.14,0.88,0.28,0.09,116.65,0.0,0.0,0.0,1.91
20,2035.0,5832.58,528.61,5376.07,8388.14,0.88,0.3,0.09,116.65,0.0,0.0,0.0,1.92
21,2036.0,6592.5,554.21,5507.31,8388.14,0.88,0.33,0.1,116.65,0.0,0.0,0.0,1.94
22,2037.0,7352.42,536.92,5677.07,8388.14,0.88,0.36,0.11,116.65,0.0,0.0,0.0,1.42
23,2038.0,8112.34,519.63,5832.77,8388.14,0.88,0.39,0.11,116.65,0.0,0.0,4.77,1.44
24,2039.0,8872.26,488.99,5729.78,8388.14,0.88,0.41,0.12,116.65,0.0,0.0,4.77,1.46
25,2040.0,9632.18,214.43,5763.0,8388.14,0.88,0.44,0.12,116.65,0.0,0.0,4.77,1.04
26,2041.0,10258.92,0.0,5834.23,8388.14,0.88,0.48,0.13,116.65,0.0,0.0,4.77,1.07
27,2042.0,10638.88,0.0,6003.68,8388.14,0.88,0.51,0.14,116.65,0.0,0.0,4.77,0.0
28,2043.0,11018.84,0.0,6171.05,8388.14,0.88,0.55,0.15,116.65,0.0,0.0,4.77,0.0
29,2044.0,11398.8,0.0,6360.75,8388.14,0.88,0.58,0.16,116.65,0.0,0.0,4.77,0.0
30,2045.0,11658.48,0.0,6586.73,8388.14,0.88,0.62,0.17,116.65,0.0,0.0,4.77,0.0
31,2046.0,11658.48,0.0,6776.04,8388.14,0.88,0.64,0.17,116.65,0.0,0.0,4.77,0.0
32,2047.0,11778.76,0.0,7131.13,8388.14,0.71,0.67,0.18,116.65,0.0,0.0,4.77,0.0
33,2048.0,12918.64,0.0,8323.41,8388.14,0.31,0.69,0.19,116.65,0.0,0.0,4.77,0.0
34,2049.0,13298.6,0.0,8218.35,8388.14,0.26,0.71,0.19,116.65,0.0,0.0,4.77,0.0
35,2050.0,13678.56,0.0,8436.58,8388.14,0.0,0.76,0.21,116.65,0.0,0.0,4.77,0.0
36,2051.0,14058.52,0.0,8682.92,8388.14,0.0,0.78,0.22,116.65,0.0,0.0,4.77,0.0
37,2052.0,14438.48,0.0,8941.04,8388.14,0.0,0.8,0.24,116.65,0.0,0.0,4.77,0.0
38,2053.0,14818.44,0.0,9211.35,8388.14,0.0,0.83,0.24,116.65,0.0,0.0,4.77,0.0
39,2054.0,15198.4,0.0,9494.25,8388.14,0.0,0.85,0.25,116.65,0.0,0.0,4.77,0.0
40,2055.0,14058.52,0.0,10185.66,8388.14,0.0,0.88,0.26,116.65,0.0,0.0,0.0,0.0
41,2056.0,12918.64,0.0,10891.22,8388.14,0.0,0.9,0.27,116.65,0.0,0.0,0.0,0.0
42,2057.0,14058.52,0.0,11025.35,8388.14,0.0,0.91,0.28,116.65,0.0,0.0,0.0,0.0
43,2058.0,15198.4,0.0,11174.95,8388.14,0.0,0.92,0.3,116.65,0.0,0.0,0.0,0.0
44,2059.0,16338.28,0.0,11324.22,8388.14,0.0,0.96,0.31,116.65,0.0,0.0,0.0,0.0
45,2060.0,17478.16,0.0,11500.96,8388.14,0.03,0.97,0.33,116.65,0.0,0.0,0.0,0.0
46,2061.0,17858.12,0.0,11882.32,8388.14,0.19,0.99,0.34,116.65,0.0,0.0,0.0,0.0
47,2062.0,18238.08,0.0,12279.88,8388.14,0.37,1.02,0.35,116.65,0.0,0.0,0.0,0.0
48,2063.0,18618.04,0.0,12694.24,8388.14,0.57,1.04,0.35,116.65,0.0,0.0,0.0,0.0
49,2064.0,18998.0,0.0,13125.74,8388.14,0.83,1.07,0.36,58.32,0.0,0.0,0.0,0.0
50,2065.0,19377.96,0.0,13374.31,8388.14,1.53,1.09,0.37,0.0,0.0,0.0,0.0,0.0
51,2066.0,19757.92,0.0,13659.39,8388.14,2.24,1.11,0.38,0.0,0.0,0.0,0.0,0.0
52,2067.0,20137.88,0.0,13945.84,8388.14,2.95,1.12,0.4,0.0,0.0,0.0,0.0,0.0
53,2068.0,20517.84,0.0,14174.58,8388.14,3.46,1.13,0.42,0.0,0.0,0.0,0.0,0.0
54,2069.0,20897.8,0.0,14729.51,8388.14,3.53,1.17,0.43,0.0,0.0,0.0,0.0,0.0
55,2070.0,21277.76,0.0,15072.66,8388.14,4.49,1.18,0.46,0.0,0.0,0.0,0.0,0.0
