,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass
1,2016.0,0.0,1.522,1.15,0.0,0.0,0.03,0.2,0.0
2,2017.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,16.35,0.032,0.0,0.05,0.34,0.0
4,2020.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
5,2021.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
6,2022.0,0.0,0.0,0.0,0.0,0.448,0.25,0.5,0.0
7,2023.0,0.0,0.0,0.0,0.0,1.0,0.65,0.5,0.0
8,2024.0,0.0,0.0,0.0,0.0,0.158,0.35,0.5,0.1
9,2025.0,3.0,0.0,0.0,0.0,0.626,0.35,0.5,0.1
10,2026.0,3.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.45,0.25,0.0
15,2031.0,0.0,0.0,0.0,0.0,0.0,0.55,0.5,0.0
16,2032.0,0.0,0.0,0.006,0.0,0.0,0.85,0.5,0.0
17,2033.0,0.0,0.0,1.991,0.0,0.0,0.6,0.5,0.0
18,2034.0,0.675,0.0,1.358,0.0,0.0,0.6,0.5,0.0
19,2035.0,1.0,0.0,0.903,0.0,0.0,0.6,0.5,0.0
20,2036.0,1.0,0.0,1.001,0.0,0.0,0.6,0.5,0.0
21,2037.0,1.0,0.0,1.051,0.0,0.0,0.6,0.5,0.0
22,2038.0,1.0,0.0,1.009,0.0,0.0,0.6,0.5,0.0
23,2039.0,1.0,0.0,2.205,0.0,0.0,0.6,0.5,0.0
24,2040.0,1.0,0.0,3.593,0.0,0.0,0.6,0.5,0.0
25,2041.0,0.825,0.0,2.965,0.0,0.0,0.85,0.75,0.0
26,2042.0,0.5,0.0,1.476,0.0,0.0,0.85,0.75,0.0
27,2043.0,0.5,0.0,3.271,0.0,0.0,1.25,0.75,0.0
28,2044.0,0.5,0.0,1.154,0.0,0.0,0.95,0.75,0.0
29,2045.0,0.342,0.0,2.282,0.0,0.0,0.95,0.75,0.0
30,2046.0,0.0,0.0,6.0,0.0,0.0,0.95,0.75,0.0
31,2047.0,0.158,0.0,6.0,0.0,0.0,0.85,0.75,0.0
32,2048.0,1.5,0.0,6.0,0.0,0.0,0.85,0.764,0.0
33,2049.0,0.5,0.0,4.197,0.0,0.0,0.85,1.5,0.0
34,2050.0,0.5,0.0,1.615,0.0,0.0,1.05,1.5,0.0
35,2051.0,0.5,0.0,1.605,0.0,0.0,0.9,0.859,0.0
36,2052.0,0.5,0.0,1.679,0.0,0.0,1.2,0.891,0.0
37,2053.0,0.5,0.0,1.755,0.0,0.0,0.95,0.923,0.0
38,2054.0,0.5,0.0,1.833,0.0,0.0,0.95,0.957,0.0
39,2055.0,1.5,0.0,3.915,0.0,0.0,0.95,0.991,0.0
40,2056.0,1.5,0.0,4.023,0.0,0.0,0.95,1.401,0.0
41,2057.0,1.5,0.0,1.101,0.0,0.0,0.95,1.459,0.0
42,2058.0,1.5,0.0,1.189,0.0,0.0,0.95,1.5,0.0
43,2059.0,1.5,0.0,1.3,0.0,0.0,0.95,1.5,0.0
44,2060.0,1.5,0.0,1.374,0.0,0.072,0.95,1.5,0.0
45,2061.0,0.5,0.0,2.413,0.0,0.47,1.2,1.0,0.0
46,2062.0,0.5,0.0,2.517,0.0,0.513,1.2,1.0,0.0
47,2063.0,0.5,0.0,4.604,0.0,0.558,1.6,1.0,0.0
48,2064.0,1.175,0.0,4.066,0.0,0.726,1.3,1.0,0.0
49,2065.0,1.5,0.0,3.632,0.0,2.0,1.3,1.0,0.0
50,2066.0,1.5,0.0,2.965,0.0,2.0,1.3,2.0,0.0
51,2067.0,1.5,0.0,3.326,0.0,2.0,1.2,2.0,0.0
52,2068.0,1.5,0.0,5.065,0.0,1.461,1.2,2.0,0.0
53,2069.0,1.5,0.0,5.615,0.0,0.2,1.2,2.0,0.0
54,2070.0,1.5,0.0,5.034,0.0,2.2,1.4,2.0,0.0
