,y,Aswan 1,Aswan 2,Esna,High Aswan Dam,New Assiut Barrage,Naga Hamadi
1,2016.0,8.3886,8.089,2.3936,45.3459,0.0,1.9174
2,2017.0,8.3886,8.089,2.3936,45.3459,0.0,1.9174
3,2018.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
4,2019.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
5,2020.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
6,2021.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
7,2022.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
8,2023.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
9,2024.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
10,2025.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
11,2026.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
12,2027.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
13,2028.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
14,2029.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
15,2030.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
16,2031.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
17,2032.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
18,2033.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
19,2034.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
20,2035.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
21,2036.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
22,2037.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
23,2038.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
24,2039.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
25,2040.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
26,2041.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
27,2042.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
28,2043.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
29,2044.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
30,2045.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
31,2046.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
32,2047.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
33,2048.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
34,2049.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
35,2050.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
36,2051.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
37,2052.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
38,2053.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
39,2054.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
40,2055.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
41,2056.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
42,2057.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
43,2058.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
44,2059.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
45,2060.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
46,2061.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
47,2062.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
48,2063.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
49,2064.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
50,2065.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
51,2066.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
52,2067.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
53,2068.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
54,2069.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
55,2070.0,8.3886,8.089,2.3936,45.3459,0.9509,1.9174
