,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage
1,2016.0,0.0,0.0,0.03,0.0,0.0
2,2018.0,0.0,0.0,0.05,0.0,0.0
3,2020.0,0.0,0.0,0.10000875,0.0,0.0
4,2021.0,0.0,0.0,0.25,0.0,0.0
5,2022.0,0.3000000000000001,0.14797601241382333,0.25,0.0,0.0
6,2023.0,0.5,0.5,0.25,0.2000000000000001,0.20000000000000018
7,2024.0,0.15763537207445288,0.0,0.25,0.049999999999999954,0.05000000000000004
8,2025.0,0.2423646279255462,0.3835643098303798,0.25,0.05000000000000038,0.050000000000000475
9,2026.0,0.0,0.0,0.25,0.050000000000000114,0.050000000000000135
10,2027.0,0.0,0.0,0.25,0.0,0.0
11,2028.0,0.0,0.0,0.25,0.0,0.0
12,2029.0,0.0,0.0,0.25,0.0,0.0
13,2030.0,0.0,0.0,0.25,0.2000000000000015,0.0
14,2031.0,0.0,0.0,0.5,0.05000000000000021,0.0
15,2032.0,0.0,0.0,0.5,0.050000000000001196,0.30000000000000315
16,2033.0,0.0,0.0,0.5,0.05000000000000095,0.05000000000000134
17,2034.0,0.0,0.0,0.5,0.05000000000000063,0.05000000000000121
18,2035.0,0.0,0.0,0.5,0.05000000000000113,0.050000000000000676
19,2036.0,0.0,0.0,0.5,0.05000000000000055,0.05000000000000046
20,2037.0,0.0,0.0,0.5,0.05000000000000223,0.0500000000000015
21,2038.0,0.0,0.0,0.5,0.05000000000000117,0.050000000000001474
22,2039.0,0.0,0.0,0.5,0.05000000000000149,0.05000000000000093
23,2040.0,0.0,0.0,0.5,0.04999999999998843,0.04999999999999938
24,2041.0,0.0,0.0,0.75,0.05000000000000006,0.05000000000000426
25,2042.0,0.0,0.0,0.75,0.04999999999999982,0.04999999999999982
26,2043.0,0.0,0.0,0.75,0.2500000000000001,0.25000000000000133
27,2044.0,0.0,0.0,0.75,0.10000000000000026,0.10000000000000087
28,2045.0,0.0,0.0,0.75,0.10000000000000014,0.10000000000000364
29,2046.0,0.0,0.0,0.75,0.10000000000001907,0.0999999999999992
30,2047.0,0.0,0.0,0.75,0.04999999999999927,0.049999999999998934
31,2048.0,0.0,0.0,0.75,0.050000000000003486,0.05000000000000493
32,2049.0,0.0,0.0,0.75,0.05000000000000293,0.05000000000000071
33,2050.0,0.0,0.0,0.75,0.250000000000003,0.05000000000000404
34,2051.0,0.0,0.0,0.75,0.09999999999999831,0.049999999999997935
35,2052.0,0.0,0.0,0.75,0.10000000000000275,0.3500000000000043
36,2053.0,0.0,0.0,0.75,0.10000000000000053,0.10000000000000053
37,2054.0,0.0,0.0,0.75,0.10000000000000231,0.10000000000000209
38,2055.0,0.0,0.0,0.75,0.10000000000000275,0.10000000000000209
39,2056.0,0.0,0.0,0.75,0.10000000000000109,0.10000000000000098
40,2057.0,0.0,0.0,0.75,0.10000000000000364,0.10000000000000187
41,2058.0,0.0,0.0,0.75,0.10000000000000142,0.10000000000000164
42,2059.0,0.0,0.0,0.75,0.10000000000000275,0.10000000000000386
43,2060.0,0.07248142241251652,0.0,0.75,0.09999999999999021,0.10000000000000142
44,2061.0,0.46970836644038383,0.0,1.0,0.09999999999999964,0.1000000000000032
45,2062.0,0.5129387690211447,0.0,1.0,0.10000000000000098,0.10000000000000098
46,2063.0,0.5576356967595641,0.0,1.0,0.29999999999999893,0.2999999999999998
47,2064.0,0.7258494025360436,0.0,1.0,0.1499999999999987,0.15000000000000258
48,2065.0,2.0,0.0,1.0,0.1500000000000008,0.15000000000000124
49,2066.0,2.0,0.0,1.0,0.15000000000001945,0.14999999999999525
50,2067.0,2.0,0.0,1.0,0.09999999999999998,0.09999999999999964
51,2068.0,1.4613863428304603,0.0,1.0,0.10000000000000275,0.10000000000000409
52,2069.0,0.19999999999988738,0.0,1.0,0.1000000000000032,0.10000000000000431
53,2070.0,0.200000000000097,2.0,1.0,0.30000000000000826,0.10000000000000853
