,y,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - CCS - Air cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Nuclear power plant - OTS/OTF cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
12,2027.0,20.5299,7.1268,4.7827,0.0,0.0,0.0,0.0,0.0,0.0,0.4394,0.0,0.3795,3.1747,0.0063,6.4664,47.8149,0.9302,5.0931,0.0,0.0,0.0,16.0077,36.2044,256.1228,6.1676,168.0806,34.7456,7.645,0.0,39.8101,0.0,7.7888,9.7549,4.606,1.0011,1.4742,36.223,3.2086
13,2028.0,23.4628,7.1268,4.1848,0.0,0.0,0.0,0.0,0.0,0.0,0.4056,0.0,0.3503,2.9305,0.0063,6.4664,47.8149,0.8586,5.0931,0.0,0.0,0.0,16.0077,33.4194,256.1228,11.5302,168.0806,33.4347,7.0569,0.0,36.7478,0.0,7.7888,9.7549,6.2745,1.0011,1.4742,39.013,3.2086
14,2029.0,26.3956,7.1268,3.587,0.0,0.0,0.0,0.0,0.0,0.0,0.3718,0.0,0.3211,2.6863,0.0063,6.4664,47.8149,0.7871,5.0931,0.0,0.0,0.0,16.0077,30.6345,256.1228,10.5694,168.0806,38.4382,6.4688,0.0,33.6855,0.0,7.7888,9.7549,7.943,1.0011,1.4742,41.8029,3.2086
15,2030.0,29.3285,7.1268,2.9892,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.0,0.2919,2.4421,0.0063,6.4664,47.8149,0.7155,5.0931,0.0,0.0,0.0,16.0077,27.8495,256.1228,9.6085,168.0806,43.4326,5.8807,0.0,30.6232,0.0,7.7888,9.7549,9.6115,1.0011,1.4742,44.5929,3.2086
16,2031.0,29.3285,7.1268,2.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.3042,0.0,0.2627,2.1979,0.0063,10.2113,55.3047,0.644,5.0931,0.0,0.0,0.0,16.0077,25.0646,256.1228,8.6477,168.0806,42.7496,5.2927,0.0,27.5608,0.0,7.7888,9.7549,12.9485,4.0045,3.1541,50.5183,3.2086
17,2032.0,29.3285,7.1268,1.7935,0.0,0.0,0.0,0.0,0.0,0.0,0.2704,0.0,0.2335,1.9537,0.0063,13.9562,55.3047,0.5724,5.0931,0.0,0.0,0.0,16.0077,22.2796,256.1228,7.6868,168.0806,50.7815,4.7046,0.0,24.4985,0.0,7.7888,9.7549,16.2855,4.3382,6.3881,56.4438,3.2086
18,2033.0,29.3285,7.1268,1.1957,0.0,0.0,0.0,0.0,0.0,0.0,0.2366,0.0,0.2043,1.7095,0.0063,13.9562,55.3047,0.5009,5.0931,0.0,0.0,0.0,16.0077,19.4947,256.1228,6.726,168.0806,65.601,4.1165,0.0,21.4362,0.0,7.7888,9.7549,19.6226,4.6719,6.8795,62.3692,3.2086
19,2034.0,29.3285,7.1268,0.5978,0.0,1.8394,0.0,0.0,1.5373,0.0,0.2028,0.0,0.1751,1.4653,0.0063,13.9562,55.3047,0.4293,5.0931,0.0,0.0,0.0,16.0077,16.7097,256.1228,5.7651,168.0806,77.0088,3.5284,0.0,18.3739,0.0,7.7888,9.7549,22.9596,5.0057,7.3709,68.2946,3.2086
20,2035.0,29.3285,7.1268,0.0,0.0,7.4484,0.0,0.0,20.868,0.0,0.169,0.0,0.146,1.2211,0.0063,13.9562,55.3047,0.3578,5.0931,0.0,0.0,0.0,16.0077,13.9248,256.1228,4.8043,168.0806,66.8185,2.9404,0.0,15.3116,0.0,7.7888,9.7549,26.2967,5.3394,7.8623,74.2201,3.2086
21,2036.0,29.3285,7.1268,0.0,0.0,12.1142,0.0,0.0,56.5021,0.0,0.1352,0.0,0.1168,0.9768,0.0063,13.9562,55.3047,0.2862,5.0931,0.0,0.0,0.0,16.0077,11.1398,256.1228,3.8434,168.0806,40.6353,2.3523,0.0,12.2493,0.0,7.7888,9.7549,29.6337,5.6731,8.3536,80.1455,3.2086
