,y,Solar PV (utility)
0,2042.0,0.15076712172079473
1,2043.0,0.3189278982520994
2,2044.0,0.23976647733157447
3,2045.0,0.28555686646617695
4,2046.0,0.3630921817672012
5,2047.0,0.47759425987919324
6,2048.0,0.4711111823073488
7,2049.0,0.3418293203411259
8,2050.0,0.4225619789604187
9,2051.0,0.2624494284709951
10,2052.0,0.27136693349906216
11,2053.0,0.28053516832906783
12,2054.0,0.3261337689470347
13,2055.0,0.33702262082877604
14,2056.0,0.3482453868917619
15,2057.0,0.335706806597399
16,2058.0,0.49045100120166285
17,2059.0,0.5116086140681018
18,2060.0,0.5181638815182458
19,2061.0,0.2651693522776604
20,2062.0,0.41148392679905815
21,2063.0,0.4405540577473539
22,2064.0,0.450293249306431
23,2065.0,0.4524867617039588
24,2066.0,0.4704734913449121
25,2067.0,0.6316702636933175
26,2068.0,0.8105305494747679
27,2069.0,0.9467261273401989
28,2070.0,1.2570581545495614
