,y,Solar PV (utility)
0,2042.0,0.15076712172079473
1,2043.0,0.4696950199728941
2,2044.0,0.7094614973044686
3,2045.0,0.9950183637706456
4,2046.0,1.3581105455378466
5,2047.0,1.83570480541704
6,2048.0,2.306815987724389
7,2049.0,2.6486453080655146
8,2050.0,3.071207287025933
9,2051.0,3.3336567154969283
10,2052.0,3.605023648995991
11,2053.0,3.885558817325059
12,2054.0,4.211692586272093
13,2055.0,4.548715207100869
14,2056.0,4.896960593992631
15,2057.0,5.23266740059003
16,2058.0,5.723118401791693
17,2059.0,6.234727015859795
18,2060.0,6.75289089737804
19,2061.0,7.018060249655702
20,2062.0,7.429544176454759
21,2063.0,7.870098234202113
22,2064.0,8.320391483508544
23,2065.0,8.772878245212503
24,2066.0,9.243351736557415
25,2067.0,9.724254878529939
26,2068.0,10.215857529752606
27,2069.0,10.922817179761232
28,2070.0,11.894318467844617
