,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2021.0,-0.0,0.0,59.8901
1,2022.0,-0.0,0.0,65.6522
2,2023.0,-0.0,0.0,65.5395
3,2024.0,-0.0,0.0,65.4273
4,2025.0,-572.3472,0.0,738.6651
5,2026.0,-572.3472,0.0,738.5536
6,2027.0,-572.3472,0.0,726.4824
7,2028.0,-572.3472,0.0,719.6426
8,2029.0,-0.0,0.0,40.1559
9,2030.0,-0.0,0.0,30.4957
10,2033.0,-0.0,25.6537,0.068
11,2034.0,-0.0,25.7028,0.0339
12,2035.0,-0.0,25.8511,0.0
13,2036.0,-0.0,25.8463,0.0
14,2037.0,-0.0,27.3735,0.0
15,2038.0,-0.0,28.8503,0.0
16,2039.0,-0.0,30.9347,0.0
17,2040.0,-0.0,17.4203,0.0
18,2041.0,-0.0,13.2814,0.0
19,2042.0,-0.0,8.3929,0.0
20,2043.0,-0.0,6.6549,0.0
21,2044.0,-0.0,8.3627,0.0
22,2045.0,-0.0,6.6329,0.0
23,2046.0,-0.0,6.8102,0.0
24,2047.0,-0.0,9.2639,0.0
25,2048.0,-0.0,8.8165,0.0
26,2049.0,-0.0,6.5893,0.0
27,2050.0,-0.0,6.5785,0.0
28,2051.0,-0.0,0.5867,0.0
