,y,"Coal imports (inland transport, maritime freight)"
0,2040.0,74.2711
1,2041.0,75.3469
2,2042.0,141.3261
3,2043.0,145.8614
4,2044.0,145.8614
5,2045.0,145.8614
6,2046.0,145.8614
7,2047.0,145.8614
8,2048.0,330.2809
9,2049.0,333.4147
10,2050.0,333.4147
11,2051.0,333.4147
12,2052.0,333.4147
13,2053.0,333.4147
14,2054.0,333.4147
15,2055.0,333.4147
16,2056.0,333.4147
17,2057.0,333.4147
18,2058.0,324.1649
19,2059.0,326.2159
20,2060.0,329.5851
21,2061.0,326.9194
22,2062.0,326.2526
23,2063.0,323.7862
24,2064.0,310.7043
25,2065.0,305.9938
26,2066.0,293.6649
27,2067.0,277.3642
28,2068.0,272.7226
29,2069.0,271.324
30,2070.0,223.2275
