,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
15,2030.0,0.8554,0.0,-3.4246,5.9918,10.7222,0.9771,3.6197,0.3769,18.1339,44.9388,0.0,0.7724,0.0753,17.9924,0.0,0.0512,2.2698
16,2031.0,0.6843,0.0,17.0102,5.9918,10.7222,0.8794,3.2577,0.3769,18.1339,44.9388,0.0,0.6951,0.0677,0.0,0.0,3.0602,6.8094
17,2032.0,0.5132,0.0,17.1141,5.9918,10.7222,0.7817,2.8957,0.3769,18.1339,44.9388,0.0,0.6179,0.0602,0.0,0.0,9.008,11.349
18,2033.0,0.3421,0.0,-6.5413,5.9918,10.7222,0.6839,2.5338,0.3769,26.9633,44.9388,0.0,0.5407,0.0527,15.253,0.0,15.7118,15.8887
19,2034.0,0.1711,0.0,-6.518,5.9918,10.7222,0.5862,2.1718,0.3769,26.9633,44.9388,0.0,0.4634,0.0452,15.2876,0.0,23.2412,20.4283
20,2035.0,0.0,0.0,-5.9621,5.9918,10.7222,0.4885,1.8098,0.3769,26.9633,44.9388,0.0,0.3862,0.0376,15.3814,0.0,23.221,20.8581
21,2036.0,0.0,0.0,-6.0588,5.9918,10.7222,0.3908,1.4479,0.3769,26.9633,44.9388,0.0,0.3089,0.0301,15.4044,0.0,29.7456,25.3977
22,2037.0,0.0,0.0,-5.883,4.7755,10.7222,0.2931,1.0859,0.3769,26.9633,44.9388,0.0,0.2317,0.0226,16.342,0.0,37.119,29.9373
23,2038.0,0.0,0.0,-6.0792,3.54,10.7222,0.1954,0.7239,0.3769,26.9633,44.9388,0.0,0.1545,0.0151,17.2525,0.0,45.7955,34.4769
24,2039.0,0.0,0.0,-6.6049,3.1129,10.7222,0.0977,0.362,0.3769,26.9633,44.9388,0.0,0.0772,0.0075,18.5299,0.0,54.6815,39.0165
25,2040.0,0.0,28.9669,-25.1746,3.1711,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,10.4522,0.0,63.57,43.5562
