,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.23808,0.0,0.0,0.405,1.500386,0.0328,0.0288,1.53,0.00029175151850849735,0.32015,0.0312,0.0,0.0,0.011099999999999999,0.0
1,2016.0,0.23808,0.0,0.0,0.405,1.500386,0.0328,0.0288,1.53,0.010760156560802155,0.32015,0.0312,0.0,0.0,0.0121,0.0
2,2017.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010760156560802155,0.32015,0.0312,0.0,0.0,0.0131,0.0
3,2018.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010760156560802155,0.32015,0.0312,0.0,0.0,0.0131,0.0
4,2019.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010760156560802155,0.32015,0.0312,0.0,0.0,0.0131,0.0
5,2020.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010760156560802155,0.32015,0.0312,0.0,0.0,0.012694999999999998,0.0
6,2021.0,0.226176,0.0,0.0,0.38475,1.4253667,0.0478,0.0288,1.85,0.010760156560802155,0.3041425,0.02964,1.30423011343664,0.0,0.012289999999999999,0.0
7,2022.0,0.214272,0.0,0.0,0.3645,1.3503474,0.0478,0.0288,1.85,0.010760156560802155,0.288135,0.02808,1.432171339548774,0.0,0.011885,0.0
8,2023.0,0.202368,0.0,0.0,0.34425,1.2753281,0.0478,1.10630264308108,3.0,0.010760156560802155,0.2721275,0.02652,1.432171339548774,0.0,0.01148,0.0
9,2024.0,0.190464,0.0,0.1,0.324,1.2003088,0.0478,1.10630264308108,3.0,0.010760156560802155,0.25612,0.02496,1.432171339548774,0.0,0.011074999999999998,0.0
10,2025.0,0.11904,0.0,0.2,0.30375,1.1252895,0.0478,1.210576332487092,3.0,0.010468405042293656,0.2401125,0.0234,1.432171339548774,0.0,0.010669999999999999,0.0
11,2026.0,0.107136,0.0,0.30000000000000004,0.2835,1.0502702,0.0478,1.210576332487092,3.0,0.0,0.224105,0.02184,1.432171339548774,0.0,0.010265,0.0
12,2027.0,0.095232,0.0,0.4000000000000001,0.26325,0.9752509,0.0478,1.210576332487092,3.0,0.0,0.2080975,0.02028,1.432171339548774,0.0,0.00986,0.0
13,2028.0,0.083328,0.0,0.4000000000000001,0.243,0.9002316,0.0478,1.210576332487092,3.0,0.0,0.19209,0.01872,1.432171339548774,0.0,0.009455,0.0
