,y,Natural gas extraction
0,2020.0,1.6314
1,2021.0,2.3915
2,2022.0,3.1986
3,2023.0,3.9203
4,2024.0,3.3148
5,2025.0,3.05
6,2026.0,2.7697
7,2027.0,2.473
8,2028.0,2.1586
9,2029.0,2.3238
10,2030.0,2.5143
11,2031.0,2.7303
12,2032.0,2.9525
13,2033.0,3.207
14,2034.0,3.4797
15,2035.0,3.7903
16,2036.0,4.5408
17,2037.0,6.8093
18,2038.0,9.2769
19,2039.0,11.8724
20,2040.0,14.6428
21,2041.0,17.0317
22,2042.0,19.5535
23,2043.0,19.5003
24,2044.0,19.2504
25,2045.0,19.0057
26,2046.0,18.7492
27,2047.0,18.4523
28,2048.0,18.0023
29,2049.0,17.5293
30,2050.0,17.3056
31,2051.0,17.0245
32,2052.0,16.7318
33,2053.0,16.4395
34,2054.0,16.087
35,2055.0,15.728
36,2056.0,15.3594
37,2057.0,14.9998
38,2058.0,14.9186
39,2059.0,14.8689
40,2060.0,14.8247
41,2061.0,14.7565
42,2062.0,14.6878
43,2063.0,14.9337
44,2064.0,15.2361
45,2065.0,15.5555
46,2066.0,15.8894
47,2067.0,16.2998
48,2068.0,16.7572
49,2069.0,17.2331
50,2070.0,17.7284
