,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,0.43,0.0,1.68,0.0,0.0
1,2016.0,0.08,0.0,1.53,0.0,0.0
2,2017.0,0.3,0.0,2.48,0.0,0.0
3,2018.0,0.29,0.0,3.66,0.0,0.0
4,2019.0,0.28,0.0,4.83,0.0,0.0
5,2020.0,0.06,0.95,5.27,0.0,0.0
6,2021.0,0.06,1.39,5.27,0.0,0.0
7,2022.0,0.05,1.86,5.27,0.0,0.0
8,2023.0,0.13,2.29,5.27,0.0,0.0
9,2024.0,0.05,1.94,5.27,0.0,0.97
10,2025.0,0.04,1.78,5.27,0.0,1.69
11,2026.0,0.04,1.62,5.27,0.0,2.46
12,2027.0,0.04,1.45,5.27,0.0,3.28
13,2028.0,0.03,1.27,5.27,0.0,4.16
14,2029.0,0.03,1.37,5.27,0.0,4.79
15,2030.0,0.03,1.48,5.27,0.0,5.47
16,2031.0,0.03,1.61,5.27,0.0,6.27
17,2032.0,0.02,1.75,5.27,0.0,7.1
18,2033.0,0.02,1.9,5.27,0.0,7.97
19,2034.0,0.02,2.07,5.27,0.0,8.91
20,2035.0,0.01,2.26,5.27,0.0,9.91
21,2036.0,0.01,2.71,5.27,0.0,10.72
22,2037.0,0.01,4.07,5.27,0.0,10.72
23,2038.0,0.01,5.52,5.27,0.0,10.72
24,2039.0,0.0,7.08,5.27,0.0,10.72
25,2040.0,0.0,8.76,5.27,0.0,10.72
26,2041.0,0.0,10.21,5.27,0.0,10.72
27,2042.0,0.0,11.75,5.27,0.0,10.72
28,2043.0,0.0,11.73,5.27,1.51,10.72
29,2044.0,0.0,11.61,5.27,3.21,10.72
30,2045.0,0.0,11.48,5.27,5.01,10.72
31,2046.0,0.0,11.34,5.27,6.92,10.72
32,2047.0,0.0,11.17,5.27,8.95,10.72
33,2048.0,0.0,10.92,5.27,11.18,10.72
34,2049.0,0.0,10.66,5.27,13.53,10.72
35,2050.0,0.0,10.38,5.27,16.02,10.72
36,2051.0,0.0,10.2,5.27,17.57,10.72
37,2052.0,0.0,10.02,5.27,19.17,10.72
38,2053.0,0.0,9.83,5.27,20.82,10.72
39,2054.0,0.0,9.64,5.27,22.53,10.72
40,2055.0,0.0,9.44,5.27,24.3,10.72
41,2056.0,0.0,9.24,5.27,26.12,10.72
42,2057.0,0.0,9.04,5.26,28.01,10.72
43,2058.0,0.0,9.01,5.06,29.96,10.72
44,2059.0,0.0,8.98,4.87,31.97,10.72
45,2060.0,0.0,8.95,4.67,34.05,10.72
46,2061.0,0.0,8.92,4.52,35.53,10.72
47,2062.0,0.0,8.9,4.41,37.01,10.72
48,2063.0,0.0,9.1,4.38,38.24,10.72
49,2064.0,0.0,9.32,4.36,39.8,10.38
50,2065.0,0.0,9.54,4.33,40.92,10.55
51,2066.0,0.0,9.77,4.3,42.05,10.72
52,2067.0,0.0,10.02,4.39,44.18,9.73
53,2068.0,0.0,10.28,4.48,45.61,9.51
54,2069.0,0.0,10.54,4.48,46.96,9.48
55,2070.0,0.0,10.83,4.48,48.34,9.46
