,y,Solar PV (roof top),Solar PV with storage
0,2049.0,0.15396551869454295,0.0
1,2050.0,0.4107780675612761,0.0
2,2051.0,0.10937894005962018,0.09973641948188237
3,2052.0,0.11309541699622634,0.1031252629150526
4,2053.0,0.06824333802249287,0.13430307866206306
5,2054.0,0.02335897577152756,0.16565052893179336
6,2055.0,0.22752561811427247,0.05545949422365584
7,2056.0,0.23510216232145834,0.0573062810299831
8,2057.0,0.24291764705500718,0.05921130972111011
9,2058.0,0.25097623406613173,0.06117559472539685
10,2059.0,0.3539517298935616,0.0
11,2060.0,0.3656568869243629,0.0
12,2061.0,0.23408360612847628,0.0
13,2062.0,0.23676832019303856,0.0
14,2063.0,0.24198193544554025,0.0
15,2064.0,0.2781980407584645,0.0
16,2065.0,0.2843631713857748,0.0
17,2066.0,0.2906657022341346,0.0
18,2067.0,0.29710929954515236,0.0
19,2068.0,0.3037196196311264,0.0
20,2069.0,0.46447418597464973,0.0
21,2070.0,0.7282463699595342,0.0
