,y,Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.129401279298994,0.0,0.0
1,2017.0,0.06318927753987835,0.0,0.0
2,2018.0,0.11200313913912852,0.0,0.0
3,2019.0,0.11200313913912803,0.0,0.0
4,2020.0,0.0,0.25803109523733647,0.0
5,2021.0,0.0,0.002626173595054022,0.0060253421676853755
6,2022.0,0.0,0.0,0.020720592903278486
7,2023.0,0.0,0.0,0.010021534035054616
8,2033.0,0.0,0.0,0.03904386839454104
9,2034.0,0.0,0.0,0.04757375255631205
10,2035.0,0.0,0.0,0.05089592696030482
11,2042.0,0.0,0.0,0.032211479237676505
12,2043.0,0.0,0.02377937233047248,0.03222555197403702
13,2044.0,0.0,0.02084223925594859,0.0
14,2045.0,0.0,0.022066859483305726,0.0
15,2046.0,0.0,0.02456945366408196,0.004819299829752447
16,2047.0,0.0,0.026011919684272848,0.0194437441438752
17,2048.0,0.0,0.027537341049157,0.008669806819894942
18,2049.0,0.0,0.00530223007204759,0.0076506264696341916
19,2050.0,0.0,0.16634633587584807,0.08415561145920777
20,2051.0,0.0,0.0,0.0057052444394572474
21,2052.0,0.0,0.0,0.003183691494166139
22,2053.0,0.0,0.0,0.004958045082135186
23,2054.0,0.0,0.0,0.006739877894324778
24,2058.0,0.0,0.0,0.03904386839454241
25,2059.0,0.0,0.0,0.04757375255631159
26,2060.0,0.0,0.011256626404718579,0.039639300555585615
27,2061.0,0.0,0.006146055828547334,0.0
28,2062.0,0.0,0.006850085284368079,0.0
29,2063.0,0.0,0.007000923492326734,0.0
30,2067.0,0.0,0.03221147923767668,0.0
31,2068.0,0.0,0.03222555197403669,0.0
