,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal
8,2023.0,0.0,1.929,0.862,1.885,0.011,0.0,0.202,0.0
9,2024.0,0.0,1.816,0.862,2.245,0.011,0.0,0.19,0.1
10,2025.0,0.0,1.702,0.862,2.665,0.011,0.0,0.119,0.2
11,2026.0,0.0,1.58,0.862,2.665,0.01,0.0,0.107,0.3
12,2027.0,0.0,1.466,0.862,2.665,0.01,0.0,0.095,0.4
13,2028.0,0.0,1.354,0.862,2.977,0.009,0.0,0.083,0.4
14,2029.0,0.0,1.241,0.862,2.977,0.009,0.0,0.071,0.4
15,2030.0,0.0,1.128,0.862,4.142,0.718,0.0,0.06,0.4
16,2031.0,0.0,1.015,0.862,4.142,1.828,0.0,0.048,0.4
17,2032.0,0.0,0.902,0.862,4.142,3.088,0.0,0.036,0.4
18,2033.0,0.0,0.79,0.862,4.142,4.44,0.0,0.024,0.4
19,2034.0,0.314,0.677,0.862,4.142,5.894,0.0,0.012,0.4
20,2035.0,0.314,0.564,0.862,4.142,5.89,0.0,0.0,0.4
21,2036.0,0.529,0.451,0.862,4.142,7.035,0.0,0.0,0.4
22,2037.0,2.133,0.339,0.862,4.142,8.395,0.0,0.0,0.4
23,2038.0,3.276,0.225,0.862,4.142,9.865,0.0,0.0,0.4
24,2039.0,4.474,0.113,0.862,4.142,11.453,0.0,0.0,0.4
25,2040.0,5.276,0.0,0.862,4.142,13.168,0.0,0.0,0.4
26,2041.0,5.276,0.0,0.862,4.142,14.866,0.0,0.0,0.4
27,2042.0,5.312,0.0,0.862,4.116,16.686,0.0,0.0,0.4
28,2043.0,5.412,0.0,0.862,4.116,18.634,0.0,0.0,0.4
29,2044.0,5.474,0.0,0.862,4.106,20.118,0.0,0.0,0.4
30,2045.0,5.474,0.0,0.862,4.106,21.399,0.0,0.0,0.4
31,2046.0,5.888,0.0,0.862,3.836,22.756,0.0,0.0,0.4
32,2047.0,6.179,0.0,0.862,3.836,24.199,0.0,0.0,0.4
33,2048.0,6.492,0.0,0.862,3.836,25.734,0.0,0.0,0.4
34,2049.0,6.757,0.0,0.862,3.836,27.963,0.0,0.0,0.4
35,2050.0,7.015,0.0,0.862,3.836,30.054,0.773,0.0,0.4
36,2051.0,7.474,0.0,0.651,3.836,30.2,0.867,0.0,0.4
37,2052.0,7.474,0.0,0.795,3.836,31.339,1.425,0.0,0.4
38,2053.0,7.474,0.0,0.895,3.836,32.52,2.052,0.0,0.4
39,2054.0,7.474,0.0,0.983,3.836,34.291,2.221,0.0,0.4
40,2055.0,7.474,0.0,0.985,3.836,36.342,2.437,0.0,0.4
41,2056.0,7.474,0.0,0.985,3.836,38.319,2.437,0.0,0.4
42,2057.0,7.474,0.0,0.985,3.836,40.457,3.141,0.0,0.4
43,2058.0,7.474,0.0,1.298,3.836,42.486,3.141,0.0,0.4
44,2059.0,7.474,0.0,1.539,3.836,44.398,3.141,0.0,0.4
45,2060.0,7.474,0.0,1.539,3.836,46.893,3.497,0.0,0.4
46,2061.0,7.474,0.0,1.539,3.836,49.075,3.497,0.0,0.4
47,2062.0,7.474,0.0,1.539,3.836,51.332,3.497,0.0,0.4
48,2063.0,7.474,0.0,1.539,3.836,53.65,3.507,0.0,0.4
49,2064.0,7.161,0.0,1.539,3.836,57.301,3.507,0.0,0.4
50,2065.0,7.161,0.0,1.539,3.836,60.132,3.507,0.0,0.4
51,2066.0,6.945,0.0,1.539,3.836,65.275,3.507,0.0,0.4
52,2067.0,7.875,0.0,1.557,3.836,67.332,3.507,0.0,0.4
53,2068.0,7.507,0.0,3.337,3.836,72.297,3.507,0.0,0.4
54,2069.0,7.145,0.0,3.705,3.836,76.568,3.507,0.0,0.4
55,2070.0,6.946,0.0,4.002,3.836,80.268,3.526,0.0,0.4
