,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
8,2023.0,-48.4411,5.9918
9,2024.0,-26.828,5.9918
10,2025.0,-59.0587,5.9918
11,2026.0,-32.6569,5.9918
12,2027.0,-7.8115,5.9918
13,2028.0,-10.8239,5.9918
14,2029.0,-5.4297,5.9918
15,2030.0,-28.2438,2.1002
16,2031.0,-28.544,2.9771
17,2032.0,-50.1302,2.8584000000000005
18,2033.0,-49.6575,2.4992
19,2034.0,-57.3854,2.376
20,2035.0,-57.63,2.6245
21,2036.0,-62.4869,2.7056999999999998
22,2037.0,-103.5218,3.0742000000000003
23,2038.0,-133.1569,3.6635
24,2039.0,-164.0712,4.1908
25,2040.0,-179.7552,4.1974
26,2041.0,-179.7552,4.1974
27,2042.0,-179.7552,4.1389
28,2043.0,-179.7552,3.8713999999999995
29,2044.0,-179.7192,2.6589
30,2045.0,-179.7552,3.0468
31,2046.0,-179.7552,2.8009000000000004
32,2047.0,-179.7552,2.8009000000000004
33,2048.0,-179.7552,2.8009000000000004
34,2049.0,-179.7552,1.5062000000000002
35,2050.0,-179.7552,0.8816999999999999
36,2051.0,-179.2221,1.7523000000000002
37,2052.0,-178.9313,2.1667
38,2053.0,-178.4324,2.7312000000000003
39,2054.0,-177.882,3.0657
40,2055.0,-177.3037,3.2981000000000003
41,2056.0,-175.5891,3.9038000000000004
42,2057.0,-174.3915,3.4384
43,2058.0,-174.9906,3.0842
44,2059.0,-174.4497,2.8757
45,2060.0,-173.4906,3.6194000000000006
46,2061.0,-172.5058,3.7264
47,2062.0,-171.3908,3.7264
48,2063.0,-170.2432,3.7264
49,2064.0,-167.4065,3.4615
50,2065.0,-166.9106,3.7264
51,2066.0,-166.5708,3.7111
52,2067.0,-172.9945,3.5078000000000005
53,2068.0,-179.7552,3.1148
54,2069.0,-179.7552,2.9103000000000003
55,2070.0,-179.7552,2.5145
