,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
2,2023.0,-0.0,0.0,39.4357
3,2024.0,-0.0,0.0,39.3682
4,2025.0,-640.2078,0.0,792.4865
5,2026.0,-640.2078,0.0,792.4195
6,2027.0,-640.2078,0.0,753.1857
7,2028.0,-640.2078,0.0,753.1857
8,2029.0,-0.0,0.0,1.4504
9,2032.0,-0.0,38.8362,0.0
10,2033.0,-0.0,38.7707,0.0
11,2034.0,-0.0,38.7054,0.0
12,2035.0,-0.0,38.6403,0.0
13,2036.0,-0.0,38.5755,0.0
14,2037.0,-0.0,38.5109,0.0
15,2038.0,-0.0,38.4465,0.0
16,2039.0,-0.0,38.3823,0.0
17,2040.0,-0.0,30.0561,0.0
18,2041.0,-0.0,28.9398,0.0
19,2042.0,-0.0,26.9535,0.0
20,2043.0,-0.0,21.7935,0.0
21,2044.0,-0.0,26.615,0.0
22,2045.0,-0.0,34.9762,0.0
23,2046.0,-0.0,33.4602,0.0
24,2047.0,-0.0,31.0709,0.0
25,2048.0,-0.0,28.5596,0.0
26,2049.0,-0.0,24.9475,0.0
27,2050.0,-0.0,16.518,0.0
28,2051.0,-0.0,13.1134,0.0
29,2052.0,-0.0,15.8907,0.0
30,2053.0,-0.0,17.7208,0.0
31,2054.0,-0.0,19.6768,0.0
32,2055.0,-0.0,20.0401,0.0
33,2056.0,-0.0,21.2442,0.0
34,2057.0,-0.0,21.682,0.0
35,2058.0,-0.0,29.2499,0.0
36,2059.0,-0.0,35.6597,0.0
37,2060.0,-0.0,36.5023,0.0
38,2061.0,-0.0,36.9299,0.0
39,2062.0,-0.0,37.3689,0.0
40,2063.0,-0.0,37.8238,0.0
41,2064.0,-0.0,39.2045,0.0
42,2065.0,-0.0,38.743,0.0
43,2066.0,-0.0,36.0213,0.0
44,2067.0,-0.0,26.8415,0.0
45,2068.0,-0.0,45.1861,0.0
46,2069.0,-0.0,52.8768,0.0
47,2070.0,-0.0,58.3969,0.0
