,y,Coal,Oil,Gas,Hydro,Solar PV,Geothermal,Biomass,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,25.53,5.08,3834.24,0.0,0.0,0.92,10.14,0.02
1,2024.0,0.0,5.6,5.08,4847.03,0.0,0.03,0.86,10.41,0.02
2,2025.0,0.0,20.48,5.08,6013.26,0.0,0.06,0.54,10.69,0.42
3,2026.0,0.0,4.89,5.08,6013.26,0.0,0.09,0.49,10.97,0.42
4,2027.0,0.0,4.54,0.0,6013.26,0.0,0.13,0.43,11.26,0.4
5,2028.0,0.0,4.2,0.0,6891.01,0.0,0.13,0.38,11.57,0.4
6,2029.0,0.0,3.85,0.19,6891.01,0.0,0.13,0.32,11.89,0.0
7,2030.0,0.0,3.49,0.0,9728.28,0.03,0.13,0.27,12.04,0.0
8,2031.0,0.0,3.14,0.0,9728.28,0.08,0.13,0.22,1.07,0.0
9,2032.0,0.0,2.79,5.08,9728.28,0.14,0.13,0.16,0.72,0.0
10,2033.0,0.0,2.46,5.08,9728.28,0.2,0.13,0.11,0.36,0.0
11,2034.0,1.0,2.1,5.08,9728.28,0.27,0.13,0.05,0.0,0.0
12,2035.0,1.0,1.75,5.08,9728.28,0.27,0.13,0.0,0.0,0.0
13,2036.0,1.69,1.4,5.08,9728.28,0.32,0.13,0.0,0.0,0.0
14,2037.0,6.8,1.05,5.08,9728.28,0.38,0.13,0.0,0.0,0.0
15,2038.0,10.44,0.72,5.08,9728.28,0.45,0.13,0.0,0.0,0.0
16,2039.0,14.26,0.36,5.08,9728.28,0.52,0.13,0.0,0.0,0.0
17,2040.0,16.81,0.0,3.98,9728.28,0.6,0.13,0.0,0.0,0.0
18,2041.0,16.81,0.0,3.84,9728.28,0.66,0.13,0.0,0.0,0.0
19,2042.0,16.93,0.0,3.58,9691.71,0.74,0.13,0.0,0.0,0.0
20,2043.0,17.25,0.0,2.9,9691.71,0.83,0.13,0.0,0.0,0.0
21,2044.0,17.44,0.0,3.55,9671.46,0.9,0.13,0.0,0.0,0.0
22,2045.0,17.44,0.0,4.67,9671.46,0.96,0.13,0.0,0.0,0.0
23,2046.0,18.76,0.0,4.48,9291.66,1.02,0.13,0.0,0.0,0.0
24,2047.0,19.69,0.0,4.16,9291.66,1.08,0.13,0.0,0.0,0.0
25,2048.0,20.69,0.0,3.83,9291.66,1.15,0.13,0.0,0.0,0.0
26,2049.0,21.53,0.0,3.36,9291.66,1.25,0.13,0.0,0.0,0.0
27,2050.0,22.36,0.0,2.23,9291.66,1.33,0.13,0.0,0.0,0.0
28,2051.0,23.82,0.0,1.77,9291.66,1.33,0.13,0.0,0.0,0.0
29,2052.0,23.82,0.0,2.15,9291.66,1.38,0.13,0.0,0.0,0.0
30,2053.0,23.82,0.0,2.4,9291.66,1.42,0.13,0.0,0.0,0.0
31,2054.0,23.82,0.0,2.67,9291.66,1.49,0.13,0.0,0.0,0.0
32,2055.0,23.55,0.0,2.72,9291.66,1.58,0.13,0.0,0.0,0.0
33,2056.0,23.54,0.0,2.89,9291.66,1.65,0.13,0.0,0.0,0.0
34,2057.0,23.15,0.0,2.95,9291.66,1.73,0.13,0.0,0.0,0.0
35,2058.0,23.18,0.0,3.99,9291.66,1.81,0.13,0.0,0.0,0.0
36,2059.0,23.34,0.0,4.87,9291.66,1.88,0.13,0.0,0.0,0.0
37,2060.0,23.09,0.0,5.0,9291.66,1.98,0.13,0.0,0.0,0.0
38,2061.0,22.94,0.0,5.06,9291.66,2.06,0.13,0.0,0.0,0.0
39,2062.0,22.76,0.0,5.13,9291.66,2.13,0.13,0.0,0.0,0.0
40,2063.0,22.56,0.0,5.2,9291.66,2.22,0.13,0.0,0.0,0.0
41,2064.0,21.23,0.0,5.4,9291.66,2.36,0.13,0.0,0.0,0.0
42,2065.0,20.92,0.0,5.35,9291.66,2.46,0.13,0.0,0.0,0.0
43,2066.0,19.22,0.0,4.98,9291.66,2.65,0.13,0.0,0.0,0.0
44,2067.0,21.1,0.0,3.72,9291.66,2.73,0.13,0.0,0.0,0.0
45,2068.0,19.56,0.0,6.32,9058.34,2.9,0.13,0.0,0.0,0.0
46,2069.0,18.26,0.0,7.4,9237.86,3.06,0.11,0.0,0.0,0.0
47,2070.0,17.49,0.0,8.18,9105.04,3.2,0.11,0.0,0.0,0.0
