,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV
0,2050.0,0.0,4.2271,0.0,0.0,0.0,1.218,0.0,0.0,0.0
1,2051.0,0.0,4.5653,0.0,0.0,0.0,1.5398,0.0,0.0,0.0
2,2052.0,2.1835,4.5653,0.0,1.0752,0.0,2.1957,0.0,0.0,0.0
3,2053.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,0.0,0.0,2.9257
4,2054.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,1.1712,0.0,2.9257
5,2055.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,2.6708,0.0,2.9257
6,2056.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,2.6708,0.0,2.9257
7,2057.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,7.5627,0.0,2.9257
8,2058.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,7.5627,0.0,2.9257
9,2059.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,7.5627,0.0,2.9257
10,2060.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257
11,2061.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257
12,2062.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257
13,2063.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257
14,2064.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257
15,2065.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257
16,2066.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257
17,2067.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257
18,2068.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257
19,2069.0,1.8132,3.7959,0.0,2.5264,0.065,1.8161,7.0995,1.1478,2.4281
20,2070.0,1.8132,4.5653,0.1025,2.072,0.0539,1.8161,7.0995,1.1478,2.4281
