,y,CO2
8,2023,24.2369
9,2024,17.8907
10,2025,61.4309
11,2026,56.4518
12,2027,54.842
13,2028,55.2189
14,2029,17.7967
15,2030,18.1226
16,2031,18.3071
17,2032,20.8453
18,2033,21.3642
19,2034,23.8139
20,2035,22.7185
21,2036,24.2918
22,2037,34.4522
23,2038,41.7813
24,2039,49.4437
25,2040,54.2375
26,2041,53.8687
27,2042,53.6806
28,2043,53.7329
29,2044,54.0659
30,2045,54.2033
31,2046,56.3894
32,2047,57.7764
33,2048,59.299
34,2049,60.4727
35,2050,61.3546
36,2051,63.7057
37,2052,63.5413
38,2053,63.3337
39,2054,63.1381
40,2055,62.3428
41,2056,62.104
42,2057,61.0818
43,2058,61.2672
44,2059,61.623
45,2060,60.9243
46,2061,60.3402
47,2062,59.7123
48,2063,59.0402
49,2064,56.2579
50,2065,55.3319
51,2066,51.6231
52,2067,54.5299
53,2068,52.2073
54,2069,49.8341
55,2070,48.3656
