,y,Coal,Gas,Hydro,Solar PV,Solar FPV,Geothermal
4,2024.0,0.0,0.0,0.36,0.0,0.0,0.1
5,2025.0,0.0,0.0,0.42,0.0,0.0,0.1
6,2026.0,0.0,0.0,0.0,0.0,0.0,0.1
7,2027.0,0.0,0.0,0.0,0.0,0.0,0.1
8,2028.0,0.0,0.0,0.312,0.0,0.0,0.0
9,2030.0,0.0,0.0,1.165,0.709,0.0,0.0
10,2031.0,0.0,0.0,0.0,1.111,0.0,0.0
11,2032.0,0.0,0.0,0.0,1.26,0.0,0.0
12,2033.0,0.0,0.0,0.0,1.353,0.0,0.0
13,2034.0,0.314,0.0,0.0,1.454,0.0,0.0
14,2036.0,0.215,0.0,0.0,1.146,0.0,0.0
15,2037.0,1.603,0.0,0.0,1.362,0.0,0.0
16,2038.0,1.143,0.0,0.0,1.471,0.0,0.0
17,2039.0,1.198,0.0,0.0,1.589,0.0,0.0
18,2040.0,0.802,0.0,0.0,1.714,0.0,0.0
19,2041.0,0.0,0.0,0.0,1.698,0.0,0.0
20,2042.0,0.036,0.0,0.0,1.82,0.0,0.0
21,2043.0,0.1,0.0,0.0,1.949,0.0,0.0
22,2044.0,0.062,0.0,0.0,1.483,0.0,0.0
23,2045.0,0.0,0.0,0.0,1.281,0.0,0.0
24,2046.0,0.414,0.0,0.0,1.357,0.0,0.0
25,2047.0,0.291,0.0,0.0,1.443,0.0,0.0
26,2048.0,0.313,0.0,0.0,1.535,0.0,0.0
27,2049.0,0.265,0.0,0.0,2.229,0.0,0.1
28,2050.0,0.258,0.0,0.0,2.8,0.773,0.1
29,2051.0,0.459,0.651,0.0,1.257,0.094,0.1
30,2052.0,0.0,0.144,0.0,2.398,0.558,0.1
31,2053.0,0.0,0.1,0.0,2.534,0.627,0.0
32,2054.0,0.0,0.088,0.0,3.225,0.169,0.0
33,2055.0,0.0,0.002,0.0,2.051,0.216,0.0
34,2056.0,0.0,0.0,0.0,3.123,0.0,0.0
35,2057.0,0.0,0.0,0.0,3.5,0.704,0.0
36,2058.0,0.0,0.313,0.0,3.5,0.0,0.0
37,2059.0,0.0,0.241,0.0,3.5,0.0,0.0
38,2060.0,0.0,0.0,0.0,4.209,0.356,0.0
39,2061.0,0.0,0.0,0.0,3.881,0.0,0.0
40,2062.0,0.0,0.0,0.0,4.076,0.0,0.0
41,2063.0,0.0,0.0,0.0,4.267,0.01,0.0
42,2064.0,0.0,0.0,0.0,5.134,0.0,0.0
43,2065.0,0.0,0.0,0.0,4.112,0.0,0.0
44,2066.0,0.0,0.0,0.0,6.5,0.0,0.0
45,2067.0,2.534,0.017,0.0,3.5,0.0,0.0
46,2068.0,0.774,1.78,0.0,6.5,0.0,0.0
47,2069.0,0.836,0.368,0.0,6.5,0.0,0.0
48,2070.0,0.603,0.297,0.0,6.5,0.019,0.0
