,y,Coal imports (inland transport-maritime freight)
0,2034.0,21.4703
1,2035.0,21.4703
2,2036.0,36.2092
3,2037.0,145.8969
4,2038.0,224.0766
5,2039.0,306.0354
6,2040.0,360.894
7,2041.0,360.894
8,2042.0,363.3434
9,2043.0,370.2161
10,2044.0,374.4493
11,2045.0,374.4493
12,2046.0,402.7599
13,2047.0,422.6734
14,2048.0,444.1055
15,2049.0,462.2536
16,2050.0,479.8727
17,2051.0,511.2991
18,2052.0,511.2991
19,2053.0,511.2991
20,2054.0,511.2991
21,2055.0,505.5142
22,2056.0,505.3472
23,2057.0,496.8923
24,2058.0,497.6741
25,2059.0,500.9475
26,2060.0,495.6776
27,2061.0,492.4102
28,2062.0,488.5771
29,2063.0,484.1742
30,2064.0,455.8237
31,2065.0,448.996
32,2066.0,412.5997
33,2067.0,453.0271
34,2068.0,419.8137
35,2069.0,392.0582
36,2070.0,375.4917
