,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV
0,2050.0,0.0,0.6,0.0,0.0,0.0,0.1730806056109387,0.0,0.0,0.0
1,2051.0,0.0,0.04800000000002202,0.0,0.0,0.0,0.045717517481576306,0.0,0.0,0.0
2,2052.0,0.312,0.0,0.0,0.15321310452126993,0.0,0.09320187690750427,0.0,0.0,0.0
3,2053.0,0.0,0.0,0.0,0.20678689547874987,0.0,0.0,0.0,0.0,0.42000000000002496
4,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16865413119866282,0.0,0.0
5,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21595562870377674,0.0,0.0
6,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044546278380989,0.0,0.0
7,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509356122594615,0.205,0.0
8,2063.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
9,2070.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
