,y,Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link
8,2023.0,-5.3927,-7.8563,-2.5733
9,2024.0,-5.3927,-18.5385,-4.7382
10,2025.0,-5.3927,-57.595,0.0
11,2026.0,-10.1861,-51.6561,-5.9918
12,2027.0,-10.1861,-50.654,-5.9918
13,2028.0,-10.1861,-50.1281,-5.9918
14,2029.0,-10.1861,-47.2269,-5.9918
15,2030.0,-7.9942,-59.8798,2.3995
16,2031.0,-9.4216,-59.9184,-0.9321000000000002
17,2032.0,-9.4858,-59.9184,-2.5507999999999997
18,2033.0,-9.2672,-59.9184,-2.2199
19,2034.0,-9.2233,-59.9184,-1.9222
20,2035.0,-9.2233,-59.8942,-2.2907
21,2036.0,-9.2233,-59.9173,-2.6115000000000004
22,2037.0,-9.2233,-59.9184,-2.8331
23,2038.0,-9.2233,-59.9184,-2.9545999999999997
24,2039.0,-9.2233,-59.9184,-3.2653
25,2040.0,-9.3968,-59.9184,-1.7662999999999998
26,2041.0,-9.6877,-59.9184,-3.1001999999999996
27,2042.0,-10.0476,-59.9184,-3.7388000000000003
28,2043.0,-10.1861,-59.9184,-3.5382
29,2044.0,-10.1643,-59.9184,-2.3713
30,2045.0,-9.9806,-59.9184,-1.4979999999999998
31,2046.0,-10.1151,-59.9184,-1.4979999999999998
32,2047.0,-10.1861,-59.9184,-1.4979999999999998
33,2048.0,-10.1383,-59.9184,-1.4979999999999998
34,2049.0,-10.1861,-59.9184,-1.4979999999999998
35,2050.0,-10.1861,-59.9184,-0.8173999999999997
36,2051.0,-10.1861,-59.9184,-1.0648
37,2052.0,-10.1861,-59.9184,-1.3989999999999998
38,2053.0,-9.9249,-59.9184,-1.2014000000000002
39,2054.0,-10.1861,-59.9184,-2.2532
40,2055.0,-10.1861,-59.9184,-1.8902
41,2056.0,-10.1861,-59.9184,-1.4509999999999998
42,2057.0,-10.1861,-59.9184,-0.7643999999999997
43,2058.0,-10.1861,-59.9184,-0.45330000000000004
44,2059.0,-10.1861,-59.9184,-0.9847000000000001
45,2060.0,-10.1861,-59.9184,-1.8509000000000002
46,2061.0,-10.1861,-59.9184,-1.9896999999999998
47,2062.0,-10.1861,-59.9184,-1.3137999999999999
48,2063.0,-10.1861,-59.9184,0.3898999999999999
49,2064.0,-10.1861,-59.9184,-0.16420000000000012
50,2065.0,-10.1861,-59.9184,-0.16420000000000012
51,2066.0,-10.1861,-59.9184,-0.16420000000000012
52,2067.0,-10.1861,-59.9184,0.7592000000000001
53,2068.0,-10.1861,-59.9184,0.19900000000000007
54,2069.0,-10.1861,-59.9184,-1.2846000000000002
55,2070.0,-10.1861,-59.9184,-1.8509000000000002
