,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
2,2023.0,-3.2175,3.25
3,2024.0,-3.2175,3.25
4,2025.0,-3.2175,3.25
5,2026.0,-3.2175,3.25
6,2027.0,-3.2175,3.25
7,2028.0,-3.2175,3.25
8,2029.0,-3.2175,3.25
9,2030.0,-3.2175,14.6227
10,2031.0,-3.2175,14.6035
11,2032.0,-3.2175,14.5843
12,2033.0,-3.2175,14.5429
13,2034.0,-3.2175,15.3778
14,2035.0,-3.2175,19.8829
15,2036.0,-3.2175,18.7454
16,2037.0,-3.2175,17.876
17,2038.0,-3.2175,21.023
18,2039.0,-3.2175,24.5153
19,2040.0,-3.2175,33.0474
20,2041.0,-3.2175,32.617
21,2042.0,-3.2175,31.2763
22,2043.0,-3.2175,30.6499
23,2044.0,-3.2175,30.0745
24,2045.0,-3.2175,31.7152
25,2046.0,-3.2175,31.7919
26,2047.0,-3.2175,31.5912
27,2048.0,-3.2175,32.3537
28,2049.0,-3.2175,32.8504
29,2050.0,-3.2175,32.9087
30,2051.0,-3.2175,31.6101
31,2052.0,-3.2175,31.3163
32,2053.0,-3.2175,31.2681
33,2054.0,-3.2175,30.6719
34,2055.0,-3.2175,30.6007
35,2056.0,-3.2175,31.1043
36,2057.0,0.0,28.61
37,2058.0,0.0,28.0545
38,2059.0,0.0,27.7329
39,2060.0,0.0,17.4785
40,2061.0,0.0,17.7928
41,2062.0,0.0,18.8986
42,2063.0,0.0,17.8077
43,2064.0,0.0,15.8506
44,2065.0,0.0,9.9278
45,2066.0,0.0,9.1854
46,2067.0,0.0,8.5078
47,2068.0,0.0,5.8976
48,2069.0,0.0,4.1641
49,2070.0,0.0,1.1379
