,y,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2
8,2023.0,0.098,0.0,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0
9,2024.0,0.098,0.0,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.0
10,2025.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
11,2026.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
12,2027.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
13,2028.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
14,2029.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
15,2030.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
16,2031.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
17,2032.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
18,2033.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
19,2034.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
20,2035.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
21,2036.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
22,2037.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
23,2038.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
24,2039.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
25,2040.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
26,2041.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
27,2042.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
28,2043.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
29,2044.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
30,2045.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
31,2046.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
32,2047.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
33,2048.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
34,2049.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
35,2050.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
36,2051.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
37,2052.0,0.098,0.645,0.128,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
38,2053.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
39,2054.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
40,2055.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
41,2056.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
42,2057.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
43,2058.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
44,2059.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
45,2060.0,0.098,0.645,0.0,0.46,0.107,3.162,6.4,0.005,0.011,0.3,0.078,0.38
46,2061.0,0.098,0.645,0.0,0.46,0.064,3.162,6.4,0.005,0.011,0.3,0.078,0.38
47,2062.0,0.098,0.645,0.0,0.46,0.064,3.162,6.4,0.005,0.011,0.3,0.078,0.38
48,2063.0,0.098,0.645,0.0,0.46,0.064,3.162,6.4,0.005,0.011,0.3,0.078,0.38
49,2064.0,0.098,0.645,0.0,0.46,0.064,3.162,6.4,0.005,0.011,0.3,0.078,0.38
50,2065.0,0.098,0.645,0.0,0.46,0.064,3.162,6.4,0.005,0.011,0.3,0.078,0.38
51,2066.0,0.098,0.645,0.0,0.46,0.064,3.162,6.4,0.005,0.011,0.3,0.078,0.38
52,2067.0,0.098,0.645,0.0,0.46,0.032,3.162,6.4,0.005,0.011,0.3,0.078,0.38
53,2068.0,0.098,0.645,0.0,0.46,0.032,3.162,6.4,0.005,0.011,0.3,0.078,0.38
54,2069.0,0.098,0.645,0.0,0.46,0.032,3.162,6.4,0.005,0.011,0.3,0.078,0.38
55,2070.0,0.098,0.645,0.0,0.46,0.032,3.162,6.4,0.005,0.011,0.3,0.078,0.38
