,y,Solar PV (utility),Solar PV (roof top),Solar FPV
3,2027.0,0.5,0.0,0.0
4,2028.0,0.5,0.0,0.0
5,2029.0,0.5,0.0,0.0
6,2030.0,0.5,0.0,0.3
7,2031.0,1.5,0.0,0.0
8,2032.0,1.5,0.0,0.0
9,2033.0,1.5,0.0,0.0
10,2034.0,1.5,0.0,0.0
11,2036.0,1.5,0.0,0.0
12,2037.0,1.5,0.0,0.1852697058409622
13,2038.0,1.5,0.0,0.3
14,2039.0,1.5,0.0,0.41346903452083494
15,2040.0,1.5,0.0,0.34653096547916507
16,2041.0,3.0,0.0,0.0
17,2042.0,3.0,0.0,0.46413623455750747
18,2043.0,3.0,0.0,0.3567759197994018
19,2044.0,3.0,0.0,0.3219279131181796
20,2045.0,3.0,0.0,0.6
21,2046.0,3.0,0.0,0.6
22,2047.0,3.0,0.0,0.5737842472537619
23,2048.0,3.0,0.0,0.6
24,2049.0,3.0,0.0,0.9663653379075146
25,2050.0,3.0,0.0,0.6
26,2051.0,3.0,0.0,0.0
27,2052.0,3.0,0.0,0.1595334125169039
28,2053.0,3.0,0.0,0.43857256691328417
29,2054.0,3.0,0.0,0.4416346620924854
30,2055.0,3.0,0.0,0.39800000000002445
31,2056.0,3.0,0.0,0.0
32,2057.0,3.0,0.0,0.011924931335728526
33,2058.0,3.0,0.0,0.6380750686642715
34,2059.0,3.0,0.0,0.0
35,2060.0,3.0,0.0,0.0
36,2061.0,3.0,0.9113779245106465,0.0
37,2062.0,3.0,2.248061635889656,0.18526970584100022
38,2063.0,3.0,2.1554760796945884,0.3000000000000055
39,2064.0,3.0,2.7197927002391413,0.4134690345207985
40,2065.0,3.0,2.783887268262795,0.3465309654791347
41,2066.0,3.0,2.849482571320822,0.0
42,2067.0,3.0,2.916752071503172,0.4641362345575074
43,2068.0,3.0,2.985947793345702,0.35677591979940093
44,2069.0,3.0,3.0,0.3219279131181799
45,2070.0,3.0,3.0,0.5999999999999986
