,y,Solar PV (utility),Solar PV (roof top),Solar FPV
8,2023.0,0.007328,0.004,0.0
9,2024.0,0.00687,0.004,0.0
10,2025.0,0.006412,0.004,0.0
11,2026.0,0.005954,0.004,0.0
12,2027.0,0.505496,0.004,0.0
13,2028.0,1.0050379999999999,0.004,0.0
14,2029.0,1.50458,0.004,0.0
15,2030.0,2.0041219999999997,0.004,0.3
16,2031.0,3.5036639999999997,0.004,0.3
17,2032.0,5.0032060000000005,0.004,0.3
18,2033.0,6.502748,0.004,0.3
19,2034.0,8.00229,0.004,0.3
20,2035.0,8.001832,0.003,0.3
21,2036.0,9.501374,0.001,0.3
22,2037.0,11.000916,0.0,0.4852697058409622
23,2038.0,12.500458,0.0,0.7852697058409621
24,2039.0,14.0,0.0,1.198738740361797
25,2040.0,15.5,0.0,1.5452697058409621
26,2041.0,18.5,0.0,1.5452697058409621
27,2042.0,21.5,0.0,2.0094059403984694
28,2043.0,24.5,0.0,2.3661818601978712
29,2044.0,27.5,0.0,2.688109773316051
30,2045.0,30.5,0.0,3.2881097733160507
31,2046.0,33.5,0.0,3.8881097733160512
32,2047.0,36.5,0.0,4.4618940205698125
33,2048.0,39.5,0.0,5.061894020569813
34,2049.0,42.5,0.0,6.028259358477327
35,2050.0,45.5,0.0,6.628259358477327
36,2051.0,48.5,0.0,6.628259358477327
37,2052.0,51.0,0.0,6.787792770994231
38,2053.0,53.5,0.0,7.226365337907515
39,2054.0,56.0,0.0,7.668
40,2055.0,58.5,0.0,7.766000000000025
41,2056.0,60.0,0.0,7.766000000000025
42,2057.0,61.5,0.0,7.777924931335753
43,2058.0,63.0,0.0,8.416000000000025
44,2059.0,64.5,0.0,8.416000000000025
45,2060.0,67.5,0.0,8.416000000000025
46,2061.0,69.0,0.9113779245106465,8.416000000000025
47,2062.0,70.5,3.1594395604003025,8.416000000000064
48,2063.0,72.0,5.314915640094891,8.41600000000007
49,2064.0,73.5,8.034708340334031,8.416000000000032
50,2065.0,75.0,10.818595608596826,8.416000000000002
51,2066.0,75.0,13.668078179917648,8.416000000000002
52,2067.0,75.0,16.58483025142082,8.416000000000002
53,2068.0,75.0,19.57077804476652,8.416000000000002
54,2069.0,75.0,22.57077804476652,8.416000000000002
55,2070.0,75.0,25.570778044766524,8.416
