,y,Amarti-Neshe,Baro,Finchaa,Lake Tana - Beles,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Renaissance,Sor,Tis Abay 1,Tekeze 1,Tis Abay 2,Tekeze 2
0,2015,32.9068,0.0,41.8418,151.3735,37.9427,214.181,0.0,1.6897,7.8013,212.7626,55.3183,0.0
1,2016,32.9068,0.0,41.8418,151.3735,37.9427,214.181,0.0,1.6897,7.8013,212.7626,55.3183,0.0
2,2017,12.9895,0.0,28.2389,92.2633,37.9427,877.291,0.0,0.667,3.0795,188.6791,49.256,0.0
3,2018,19.3577,0.0,41.8418,151.3735,37.9427,877.291,0.0,0.667,3.0795,212.7626,55.3183,0.0
4,2019,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
5,2020,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
6,2021,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
7,2022,32.9068,0.0,41.8418,151.3735,37.9427,877.291,0.0,1.6897,7.8013,212.7626,55.3183,0.0
8,2023,32.9068,0.0,41.8418,151.3735,37.9427,1121.2587,316.5815,1.6897,7.8013,212.7626,55.3183,0.0
9,2024,32.9068,0.0,41.8418,151.3735,37.9427,1121.2587,633.1631,1.6897,7.8013,212.7626,55.3183,0.0
10,2025,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,949.7446,1.6897,7.8013,212.7626,55.3183,269.4993
11,2026,32.9068,324.0934,41.8418,151.3735,37.9427,1118.2251,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
12,2027,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
13,2028,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
14,2029,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
15,2030,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
16,2031,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
17,2032,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
18,2033,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
19,2034,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
20,2035,32.9068,324.0934,41.8418,151.3735,33.7162,1105.3061,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
21,2036,23.8438,308.8794,38.2095,109.4102,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
22,2037,23.8438,324.0934,29.8705,84.8543,37.9427,1121.2587,1266.3255,0.7705,4.3731,212.7626,55.3183,247.2074
23,2038,23.8438,309.3773,29.8705,109.9559,37.9427,1109.4471,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
24,2039,23.8438,324.0934,41.8418,109.9559,37.9427,1104.8837,1266.3255,0.7705,4.3731,212.7626,55.3183,269.4993
25,2040,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
26,2041,32.9068,324.0934,41.8418,151.3735,37.9427,1121.2587,1266.3255,1.6897,7.8013,212.7626,55.3183,269.4993
27,2042,23.8438,324.0934,41.8418,123.9182,37.9427,1121.2587,1266.3255,0.7521,3.6138,212.7626,55.3183,269.4993
28,2043,26.0977,324.0934,34.7087,97.1022,37.9427,1114.9998,1266.3255,0.7521,3.6138,212.7626,55.3183,269.4993
29,2044,26.0977,324.0934,34.7087,70.6339,37.9427,1104.8922,1266.3255,0.7521,3.6138,212.7626,55.3183,269.4993
30,2045,26.0977,324.0934,34.7087,101.1839,37.9427,1118.594,1266.3255,1.3235,6.187,212.7626,43.8717,239.9651
31,2046,26.0977,324.0934,34.7087,104.0313,37.9427,1077.3998,1266.3255,1.3235,6.187,168.7374,52.8455,269.4993
32,2047,26.0977,324.0934,34.7087,102.2877,37.9427,1058.1676,1266.3255,1.3235,6.187,168.7374,52.8455,239.9651
33,2048,26.0977,324.0934,34.7087,130.8053,37.9427,1121.2587,1107.381,1.3235,6.187,168.7374,52.8455,269.4993
34,2049,26.0977,324.0934,34.7087,135.45,37.9427,1121.2587,1071.6184,1.3235,6.187,168.7374,43.8717,269.4993
35,2050,26.0977,324.0934,34.7087,137.0484,37.9427,1121.2587,1024.2772,1.6897,6.187,168.7374,43.8717,269.4993
36,2051,26.0977,323.2581,34.7087,126.2991,37.9427,1084.7744,1003.1079,1.3235,6.187,168.7374,43.8717,266.4689
37,2052,26.0977,324.0934,34.7087,119.7782,36.2466,1016.8372,1003.1079,0.7521,6.187,184.8436,43.8717,268.789
38,2053,26.0977,324.0934,0.0,120.5052,36.2466,1011.3908,1003.1079,1.3235,6.187,168.7374,43.8717,269.4993
39,2054,26.0977,324.0934,0.0,119.7782,36.2466,1002.6096,1003.1079,1.3235,4.9074,168.7374,43.8717,213.7341
40,2055,26.0977,324.0934,0.0,116.2588,29.9547,970.0121,1003.1079,1.0798,4.1397,168.7374,43.8717,213.7341
41,2056,26.0977,324.0934,0.0,119.7782,36.2466,915.6565,1003.1079,0.7521,4.9074,168.7374,43.8717,213.7341
42,2057,26.0977,324.0934,0.0,94.6766,36.2466,915.6134,1003.1079,0.7521,3.6138,168.7374,43.8717,213.7341
43,2058,26.0977,324.0934,0.0,94.6766,36.2466,873.4365,1003.1079,0.7521,3.6138,168.7374,43.8717,213.7341
44,2059,26.0977,257.8569,0.0,87.3657,30.0915,858.8883,1003.1079,0.7521,3.6138,203.2519,43.8717,169.0442
45,2060,15.2434,312.5223,0.0,104.881,32.5125,1111.5014,916.0598,0.5084,2.846,168.7374,34.6986,162.9875
