,y,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
8,2023.0,0.73,0.0,1979.47,0.0,0.0,0.3,88.26,0.0,0.0,0.0
9,2024.0,0.69,0.0,2296.05,0.0,0.0,0.43,83.07,0.0,0.0,0.0
10,2025.0,0.66,0.0,3206.22,0.0,0.0,0.53,51.92,0.15,13.06,0.0
11,2026.0,0.61,0.0,3519.78,0.0,0.0,0.53,18.84,0.0,13.52,0.0
12,2027.0,0.57,0.0,3522.81,0.02,0.01,0.53,41.53,0.0,13.98,0.0
13,2028.0,0.53,0.0,3522.81,0.04,0.01,0.53,36.34,0.0,14.47,0.0
14,2029.0,0.48,0.0,3522.81,0.06,0.01,0.53,31.15,0.0,14.97,0.0
15,2030.0,0.43,1.77,3522.81,0.08,0.01,0.53,25.96,0.0,15.45,0.01
16,2031.0,0.39,1.77,3522.81,0.14,0.02,0.53,20.77,0.0,15.9,0.01
17,2032.0,0.35,1.77,3522.81,0.21,0.02,0.53,15.58,0.0,16.36,0.01
18,2033.0,0.31,1.76,3522.81,0.27,0.03,0.53,10.38,0.0,16.86,0.01
19,2034.0,0.27,1.9,3522.81,0.33,0.03,0.53,5.19,0.0,17.34,0.01
20,2035.0,0.22,2.6,3502.64,0.33,0.05,0.53,0.0,0.0,18.05,0.01
21,2036.0,0.17,2.43,3448.59,0.39,0.06,0.53,0.0,0.0,18.6,0.01
22,2037.0,0.13,2.3,3408.61,0.45,0.07,0.53,0.0,0.0,19.16,0.01
23,2038.0,0.09,2.8,3429.49,0.52,0.07,0.53,0.0,0.0,19.74,0.01
24,2039.0,0.04,3.35,3451.6,0.58,0.08,0.53,0.0,0.0,20.33,0.01
25,2040.0,0.0,4.51,3522.81,0.64,0.08,0.53,0.0,0.0,20.94,0.02
26,2041.0,0.0,4.45,3522.81,0.76,0.08,0.53,0.0,0.0,21.42,0.02
27,2042.0,0.0,4.24,3481.16,0.89,0.08,0.53,0.0,0.0,21.91,0.02
28,2043.0,0.0,4.15,3443.21,1.01,0.08,0.53,0.0,0.0,22.42,0.02
29,2044.0,0.0,4.13,3406.63,1.13,0.08,0.53,0.0,0.0,22.93,0.02
30,2045.0,0.0,4.34,3413.05,1.26,0.08,0.47,0.0,0.0,23.45,0.02
31,2046.0,0.0,4.36,3369.2,1.38,0.08,0.38,0.0,0.0,23.99,0.02
32,2047.0,0.0,4.36,3318.7,1.51,0.09,0.33,0.0,0.0,24.53,0.02
33,2048.0,0.0,4.48,3280.89,1.63,0.1,0.23,0.0,0.0,25.09,0.02
34,2049.0,0.0,4.59,3240.79,1.75,0.11,0.1,0.0,0.0,25.67,0.02
35,2050.0,0.0,4.58,3195.42,1.88,0.13,0.0,0.0,0.0,26.25,0.02
36,2051.0,0.0,4.44,3122.78,2.0,0.13,0.0,0.0,0.0,26.71,0.02
37,2052.0,0.0,4.43,3065.32,2.1,0.14,0.0,0.0,0.0,27.19,0.02
38,2053.0,0.0,4.43,3011.07,2.21,0.14,0.0,0.0,0.0,27.66,0.02
39,2054.0,0.0,4.34,2944.51,2.31,0.14,0.0,0.0,0.0,28.15,0.02
40,2055.0,0.0,4.34,2901.08,2.41,0.15,0.0,0.0,0.0,28.65,0.02
41,2056.0,0.0,4.43,2856.99,2.47,0.17,0.0,0.0,0.0,29.15,0.02
42,2057.0,0.0,4.46,2830.54,2.53,0.18,0.0,0.0,0.0,29.66,0.02
43,2058.0,0.0,4.44,2788.37,2.59,0.19,0.0,0.0,0.0,30.17,0.01
44,2059.0,0.0,4.43,2683.94,2.66,0.21,0.0,0.0,0.0,30.7,0.01
45,2060.0,0.0,2.67,2862.5,2.78,0.23,0.0,0.0,0.0,31.23,0.01
46,2061.0,0.0,2.72,2416.67,2.88,0.24,0.0,0.0,0.0,31.67,0.01
47,2062.0,0.0,2.85,2485.91,3.0,0.23,0.0,0.0,0.0,32.1,0.01
48,2063.0,0.0,2.81,2487.77,3.15,0.23,0.0,0.0,0.0,32.55,0.01
49,2064.0,0.0,2.48,2402.4,3.31,0.22,0.0,0.0,0.0,32.99,0.01
50,2065.0,0.0,1.63,2503.48,3.54,0.21,0.0,0.0,0.0,33.45,0.01
51,2066.0,0.0,1.51,2315.77,3.48,0.24,0.0,0.0,0.0,33.9,0.0
52,2067.0,0.0,1.4,2450.13,3.66,0.23,0.0,0.0,0.0,34.36,0.0
53,2068.0,0.0,0.97,2422.29,3.79,0.23,0.0,0.0,0.0,34.83,0.0
54,2069.0,0.0,0.69,2473.7,4.02,0.21,0.0,0.0,0.0,35.3,0.0
55,2070.0,0.0,0.19,2452.61,4.14,0.22,0.0,0.0,0.0,35.78,0.0
