,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),New Assiut Barrage,Light Fuel Oil power plant - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
25,2041.0,0.0,1.5,0.0,0.0,0.0,0.0,0.9650585968327142,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.15000000000000005,0.15000000000000369,0.75,0.0
26,2042.0,0.0,0.5000000000000261,0.0,0.0,0.0,0.0,0.0,0.0,0.9974530136935285,0.3156567429445091,0.0,0.0,0.0,0.0,0.0,0.75,0.09999999999999987,0.10000000000000225,0.75,0.0
27,2043.0,0.0,0.4999999999999992,0.0,0.0,0.0,0.0,0.0,0.2961767330121389,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000017,0.09999999999999881,0.75,0.0
28,2044.0,0.0,0.5000000000000127,0.0,0.0,0.0,0.0,0.8468304077366927,0.04834227364273236,0.0,0.4700960233710176,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000012,0.10000000000000103,0.75,0.0
29,2045.0,0.0,0.5000000000000069,0.0,0.0,0.0,0.0,1.5,0.0,0.897259282798445,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.09999999999999964,0.1000000000000027,0.75,0.0
30,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428161137257812,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000001916,0.09999999999999964,0.75,0.0
31,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000323,0.1000000000000027,0.75,0.0
32,2048.0,0.0,1.5000000000000198,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.04346600061495745,0.0919798666291934,0.0,0.75,0.10000000000000042,0.0999999999999997,0.75,0.0
33,2049.0,0.0,0.5000000000000104,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000328,0.10000000000000325,0.75,0.0
34,2050.0,0.0,0.5000000000000036,0.0,0.0,0.0,0.0,1.5,0.13432716544241244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000012,0.05000000000000404,0.75,0.0
35,2051.0,0.0,0.5000000000000107,0.0,0.0,0.0,0.0,0.03909716397037734,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000087,0.126275989173888,0.75,0.0
36,2052.0,0.0,0.5000000000000038,0.0,0.0,0.0,0.0,0.0,0.3920260257953972,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000184,0.12372401082611323,0.75,0.0
37,2053.0,0.0,0.5000000000000104,0.0,0.0,0.0,0.0,0.4720806973383127,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000067,0.10000000000000125,0.7500000000023964,0.0
38,2054.0,0.0,0.49999999999989697,0.0,0.0,0.0,0.0,0.0,1.5,0.44254135371679887,0.040379021824818034,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000253,0.10000000000000214,0.7500000000002709,0.0
39,2055.0,0.0,1.5,0.0,0.0,0.0,0.0,1.3207274005314262,1.5,0.0,0.1734982170356867,0.0,0.0,0.0,0.0,0.0,0.75,0.1000000000000025,0.09999999999999987,0.75,0.0
40,2056.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.4403548066040743,1.5,0.2874352618993861,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000078,0.10000000000000225,0.75,0.08995335706831735
41,2057.0,0.0,1.5,0.0,0.0,0.0,0.0,0.853431246045126,0.0,0.0,0.2667716032295944,0.0,0.0,0.0,0.0,0.0,0.75,0.10000000000000409,0.1000000000000027,0.7500000000002229,0.6872868181311879
42,2058.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1082299602321934,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1000000000000015,0.10000000000000103,0.7499999999998254,0.7299421013687771
43,2059.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.1548508776684683,0.0,0.3417931821364736,0.08918790790406396,0.0,0.0,0.0,0.0,0.75,0.10000000000000289,0.10000000000000414,0.7500000000002626,0.75
44,2060.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2283650822281285,0.39193242382591303,0.15121686935886003,0.0,0.0,0.0,0.0,0.75,0.09999999999999032,0.10000000000000209,0.750000000000044,0.75
45,2061.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.9292043415258784,0.33883304382806384,0.0,0.570629010085401,0.0,0.0,0.0,0.0,1.0,0.19999999999999962,0.2000000000000025,1.0000000000000488,0.0
46,2062.0,0.0,0.5,0.0,0.0,0.0,0.0,2.329641634444879,0.0,0.0,0.21659284987398003,0.6664985887207984,0.0,0.0,0.0,0.0,1.0,0.1500000000000007,0.15000000000000352,0.9999999999996478,0.0
47,2063.0,0.0,0.5000000000000002,0.0,0.0,0.0,0.0,0.528882462545176,2.5,0.0,0.2222036473857823,0.5877491251819986,0.0,0.0,0.0,0.0,1.0,0.14999999999999902,0.14999999999999597,1.0,0.0
48,2064.0,0.0,0.4999999999999998,0.0,0.0,0.0,0.0,1.9562576443603312,0.0,2.5,0.0,0.570352533835564,0.0,0.0,0.0,0.0,1.0,0.14999999999999858,0.1500000000000039,1.0,0.0
49,2065.0,0.0,1.4999999999999982,0.0,0.0,0.0,0.0,0.0,2.5,0.5193425761815202,0.08777291958868597,2.0,0.0,0.05192052774124305,0.0,0.715398962671504,1.0,0.15000000000000036,0.15000000000000036,1.0,0.0
50,2066.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.2647161642348177,2.5,0.24688502877409652,2.0,0.0,0.0,0.0,0.0,1.0,0.15000000000001945,0.14999999999999653,1.0,1.0
51,2067.0,0.0,1.5,0.0,0.0,0.0,0.0,2.5,0.39996284891715983,0.0,0.0015735249409964444,2.0,0.0,0.0,0.0,0.0,1.0,0.1500000000000039,0.1500000000000033,1.0,1.0
52,2068.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0068408628839263,2.5,0.0,1.8061467495208536,1.1643659649134264,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.14999999999999902,1.0,1.0
53,2069.0,0.0,1.5,0.0,0.0,0.0,0.0,2.2639474235824335,0.0,2.5,0.7681139975165437,0.19999999999988738,0.0,0.0,0.0,0.0,1.0,0.1500000000000038,0.15000000000000613,1.0,1.0
54,2070.0,0.0,1.5000000000000018,0.0,0.0,0.0,0.0,0.0,2.5,2.3471062412228436,0.8083378126264811,0.1999999999999993,2.0,0.0,0.0,0.0,1.0,0.1500000000000048,0.10000000000000758,1.0,1.0
