,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
0,2015.0,0.0,1.35,2.8,0.0,0.0,0.01,0.0,0.24,0.0
1,2016.0,0.0,1.522,1.15,0.0,0.0,0.03,0.0,0.2,0.25
2,2017.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,16.35,0.0,0.0,0.05,0.0,0.34,0.0
4,2020.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
5,2021.0,0.0,0.0,0.0,1.89,0.8,0.45,0.0,0.25,0.1
6,2022.0,0.0,0.0,0.0,0.0,0.4,0.35,1.22,0.5,0.1
7,2023.0,0.0,0.0,0.0,0.25,0.4,0.35,0.0,0.5,0.1
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.5,0.1
9,2025.0,3.0,0.0,0.0,0.0,0.0,0.35,0.0,0.287,0.0
10,2026.0,3.0,0.0,0.0,0.0,0.0,0.35,0.0,0.25,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.25,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.25,0.0
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.25,0.0
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.25,0.0
15,2031.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0
16,2032.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0
17,2033.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0
18,2034.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0
19,2035.0,0.0,0.0,0.851,0.0,0.0,0.6,0.0,0.5,0.0
20,2036.0,1.0,0.0,0.806,0.0,0.0,0.6,0.0,0.5,0.0
21,2037.0,1.0,0.0,0.952,0.0,0.0,0.6,0.0,0.5,0.0
22,2038.0,1.0,0.0,1.173,0.0,0.0,0.6,0.0,0.5,0.0
23,2039.0,1.0,0.0,2.959,0.0,0.0,0.6,0.0,0.5,0.0
24,2040.0,1.0,0.0,3.714,0.0,0.0,0.6,0.0,0.5,0.0
25,2041.0,1.5,0.0,2.442,0.0,0.0,1.05,0.0,0.75,0.0
26,2042.0,1.5,0.0,0.781,0.0,0.0,0.95,0.0,0.75,0.0
27,2043.0,0.5,0.0,3.185,0.0,0.0,0.95,0.0,0.75,0.0
28,2044.0,0.5,0.0,1.379,0.0,0.0,0.95,0.0,0.75,0.0
29,2045.0,0.5,0.0,2.182,0.0,0.0,0.95,0.0,0.75,0.0
30,2046.0,0.0,0.0,3.341,0.0,0.0,0.95,0.0,0.75,0.0
31,2047.0,0.0,0.0,6.0,0.0,0.0,0.95,1.22,0.75,0.0
32,2048.0,1.5,0.0,6.0,0.0,0.0,0.872,0.0,0.75,0.0
33,2049.0,0.5,0.0,3.671,0.0,0.0,1.028,0.0,0.75,0.0
34,2050.0,0.5,0.0,1.778,0.0,0.0,0.85,0.0,0.75,0.0
35,2051.0,0.5,0.0,1.793,0.0,0.0,0.95,0.0,0.75,0.0
36,2052.0,0.5,0.0,1.79,0.0,0.0,1.05,0.0,0.821,0.0
37,2053.0,0.5,0.0,1.86,0.0,0.0,0.95,0.0,0.842,0.0
38,2054.0,0.5,0.0,1.936,0.0,0.0,0.95,0.0,0.915,0.0
39,2055.0,1.5,0.0,3.668,0.0,0.0,0.95,0.0,0.841,0.0
40,2056.0,1.5,0.0,4.183,0.0,0.274,0.95,0.0,1.5,0.0
41,2057.0,1.5,0.0,1.282,0.0,0.004,0.95,0.0,1.5,0.0
42,2058.0,1.5,0.0,1.107,0.0,0.0,0.95,0.0,1.482,0.0
43,2059.0,1.5,0.0,1.012,0.0,0.0,0.95,0.0,1.479,0.0
44,2060.0,1.5,0.0,1.463,0.0,0.105,0.95,0.0,1.5,0.0
45,2061.0,0.5,0.0,2.484,0.0,0.632,1.4,0.0,1.0,0.0
46,2062.0,0.5,0.0,2.694,0.0,0.702,1.3,0.0,1.0,0.0
47,2063.0,0.5,0.0,2.839,0.0,0.757,1.3,0.0,1.0,0.0
48,2064.0,0.5,0.0,2.79,0.0,0.767,1.3,0.0,1.0,0.0
49,2065.0,0.5,0.0,3.342,0.0,2.0,1.3,0.0,1.0,0.0
50,2066.0,1.5,0.0,2.475,0.0,2.0,1.3,0.0,2.0,0.0
51,2067.0,1.5,0.0,3.348,0.0,2.0,1.3,0.0,2.0,0.0
52,2068.0,1.5,0.0,5.744,0.0,0.559,1.222,0.0,2.0,0.0
53,2069.0,1.5,0.0,6.573,0.0,0.2,1.378,0.0,2.0,0.0
54,2070.0,1.5,0.0,5.195,0.0,2.2,1.2,0.0,2.0,0.0
