,y,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
0,2015.0,3.1846,0.0
1,2016.0,0.0,0.0
2,2017.0,9.226,0.0
3,2018.0,6.6081,0.0
4,2019.0,-2.3356,0.0
5,2020.0,-2.2077,0.0
6,2021.0,59.9184,0.0
7,2022.0,58.5954,0.0
8,2023.0,45.3382,0.0
9,2024.0,35.2167,0.0
10,2025.0,40.0127,0.0
11,2026.0,29.8349,0.0
12,2027.0,19.6291,0.0
13,2028.0,9.3953,0.0
14,2029.0,7.4765,0.0
15,2030.0,10.312000000000001,0.0
16,2031.0,11.9266,0.0
17,2032.0,11.0275,0.0
18,2033.0,23.2305,0.0
19,2034.0,22.5694,0.0
20,2035.0,21.9241,0.0
21,2036.0,21.9991,0.0
22,2037.0,20.4041,0.0
23,2038.0,20.9239,0.0
24,2039.0,20.6757,0.0
25,2040.0,30.8736,0.0
26,2041.0,30.1438,0.0
27,2042.0,38.2947,0.0
28,2043.0,39.5258,0.0
29,2044.0,39.9129,0.0
30,2045.0,34.8831,0.0
31,2046.0,27.0613,0.0
32,2047.0,21.8086,0.0
33,2048.0,107.9177,0.4814
34,2049.0,99.314,0.0
35,2050.0,94.7077,0.0
36,2051.0,88.0732,0.0
37,2052.0,84.7962,0.0
38,2053.0,81.8301,0.0
39,2054.0,78.5477,0.0
40,2055.0,100.267,0.0
41,2056.0,116.283,0.0
42,2057.0,116.3531,0.0
43,2058.0,116.1413,0.0
44,2059.0,111.3922,0.0
45,2060.0,105.2419,0.0
46,2061.0,106.6101,0.0
47,2062.0,104.5617,0.0
48,2063.0,102.6071,0.0
49,2064.0,104.7813,0.0
50,2065.0,107.7963,0.0
51,2066.0,105.1279,0.0
52,2067.0,108.2667,0.0
53,2068.0,104.8615,0.0
54,2069.0,101.3692,0.0
55,2070.0,89.8481,0.0
