,y,CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.010175,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.040175,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.040175,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.090175,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.090175,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.19017499999999998,0.0,0.0
6,2021.0,0.4,0.4,0.0,0.0,0.0,0.44016625,0.1,0.10000000000000005
7,2022.0,0.6000000000000003,0.6,0.0,0.0,0.0,0.6901575,0.15000000000000002,0.15000000000000002
8,2023.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,0.94014875,0.20000000000000012,0.20000000000000007
9,2024.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,1.19014,0.2500000000000002,0.25000000000000033
10,2025.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,1.4401312499999999,0.30000000000000004,0.3
11,2026.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,1.6901225,0.35000000000000037,0.35000000000000087
12,2027.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,1.94011375,0.40000000000000063,0.40000000000000085
13,2028.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,2.190105,0.45000000000000123,0.4500000000000011
14,2029.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,2.19009625,0.5000000000000014,0.5000000000000018
15,2030.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,2.1900874999999997,0.55,0.5000000000000019
16,2031.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,2.5496340083916564,0.6000000000000028,0.5762759891738918
17,2032.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,3.0496252583916568,0.6500000000000035,0.6500000000000039
18,2033.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,3.5496165083916567,0.7000000000000041,0.7000000000000051
19,2034.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,4.049607758391656,0.750000000000005,0.7500000000000062
20,2035.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,4.549599008391656,0.8000000000000062,0.8000000000000071
21,2036.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,5.049590258391657,0.8500000000000065,0.8500000000000076
22,2037.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,5.549581508391656,0.9000000000000091,0.9000000000000097
23,2038.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,6.0495727583916565,0.9500000000000104,0.9500000000000106
24,2039.0,0.6000000000000003,0.6,0.043466000614957444,0.0919798666291934,0.0,6.549564008391656,1.0000000000000115,1.0000000000000118
25,2040.0,0.6000000000000003,0.6,0.09538652835620048,0.0919798666291934,0.715398962671504,7.039564008391656,1.05,1.0500000000000118
26,2041.0,0.6000000000000003,0.6,0.09538652835620048,0.0919798666291934,0.715398962671504,7.759564008391656,1.1000000000000003,1.1000000000000154
27,2042.0,0.6000000000000003,0.6,0.09538652835620048,0.0919798666291934,0.715398962671504,8.509564008391656,1.1500000000000001,1.150000000000018
28,2043.0,0.6000000000000003,0.6,0.09538652835620048,0.0919798666291934,0.715398962671504,9.209564008391656,1.2,1.2000000000000164
29,2044.0,0.6000000000000003,0.6,0.09538652835620048,0.0919798666291934,0.715398962671504,9.959564008391656,1.25,1.250000000000017
30,2045.0,0.6000000000000003,0.6,0.09538652835620048,0.0919798666291934,0.715398962671504,10.609555258391657,1.2999999999999998,1.3000000000000203
31,2046.0,0.20000000000000023,0.19999999999999998,0.09538652835620048,0.0919798666291934,0.715398962671504,11.109555258391657,1.3500000000000187,1.3500000000000192
32,2047.0,0.0,0.0,0.09538652835620048,0.0919798666291934,0.715398962671504,11.609555258391657,1.4000000000000217,1.4000000000000217
33,2048.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,12.109555258391657,1.4500000000000215,1.450000000000021
34,2049.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,12.609555258391657,1.5000000000000244,1.5000000000000235
35,2050.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,13.109555258391657,1.550000000000026,1.5500000000000276
36,2051.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,13.609555258391657,1.600000000000024,1.6000000000000258
37,2052.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,14.109555258391657,1.6500000000000252,1.6500000000000272
38,2053.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,14.609555258391657,1.7000000000000257,1.700000000000027
39,2054.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,15.359555258391657,1.750000000000027,1.750000000000028
40,2055.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,16.10955525839166,1.8000000000000285,1.800000000000027
41,2056.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,16.5,1.850000000000029,1.8500000000000287
42,2057.0,0.0,0.0,0.0953865283562005,0.0919798666291934,0.715398962671504,16.75,1.9000000000000306,1.9000000000000294
