,y,Egypt - Turkey Historic and Planned NG trade link,Israel - Egypt Planned NG trade link,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2015.0,-390.1669,0.0,-725.4044,0.0,2619.5804
1,2016.0,-390.1669,0.0,-711.0205,0.0,2638.8792
2,2017.0,-390.1669,0.0,-711.0205,0.0,2686.5999
3,2018.0,-390.1669,0.0,-711.0205,0.0,2717.3087
4,2019.0,-780.3338,0.0,-711.0205,0.0,3156.396
5,2020.0,-780.3338,0.0,-711.0205,0.0,3184.3602
6,2021.0,-780.3338,0.0,-711.0205,0.0,3134.9565
7,2022.0,-780.3338,0.0,-711.0205,0.0,3254.3184
8,2023.0,-780.3338,0.0,-711.0205,0.0,3306.6912
9,2024.0,-780.3338,0.0,-711.0205,0.0,3352.6461
10,2025.0,-780.3338,0.0,-711.0205,0.0,3240.6737
11,2026.0,-780.3338,0.0,-711.0205,0.0,3149.7546
12,2027.0,-780.3338,0.0,-711.0205,0.0,3195.504
13,2028.0,-780.3338,0.0,-711.0205,0.0,3241.1051
14,2029.0,-780.3338,0.0,-711.0205,0.0,3275.2271
15,2030.0,-780.3338,0.0,-711.0205,0.0,3302.1706
16,2031.0,-780.3338,0.0,-711.0205,0.0,3380.1457
17,2032.0,-780.3338,0.0,-711.0205,0.0,3460.9053
18,2033.0,-780.3338,0.0,-711.0205,0.0,3513.5337
19,2034.0,-780.3338,0.0,-711.0205,0.0,3581.852
20,2035.0,-780.3338,0.0,-711.0205,0.0,3605.811
21,2036.0,-780.3338,0.0,-711.0205,0.0,3634.6695
22,2037.0,0.0,0.0,-711.0205,0.0,2885.554
23,2038.0,0.0,227.2817,-711.0205,0.0,2691.9104
24,2039.0,0.0,227.2817,-711.0205,0.0,2722.3874
25,2040.0,0.0,227.2817,-525.2462,0.0,2522.1335
26,2041.0,0.0,227.2817,-0.0,0.0,1931.6356
27,2042.0,0.0,227.2817,-0.0,1714.3622,262.7604
28,2043.0,0.0,227.2817,-0.0,2039.7135,0.0
29,2044.0,0.0,227.2817,-0.0,2098.0617,0.0
30,2045.0,0.0,227.2817,-0.0,2165.1587,0.0
31,2046.0,0.0,227.2817,-0.0,2284.5155,0.0
32,2047.0,0.0,227.2817,-0.0,2392.6341,0.0
33,2048.0,0.0,227.2817,-0.0,2281.4473,0.0
34,2049.0,0.0,227.2817,-0.0,2363.094,0.0
35,2050.0,0.0,227.2817,-0.0,2433.9368,0.0
36,2051.0,0.0,227.2817,-0.0,2515.6863,0.0
37,2052.0,0.0,227.2817,-0.0,2597.664,0.0
38,2053.0,0.0,227.2817,-0.0,2682.6385,0.0
39,2054.0,0.0,227.2817,-0.0,2769.1338,0.0
40,2055.0,0.0,227.2817,-0.0,2906.0663,0.0
41,2056.0,0.0,227.2817,-0.0,3069.6552,0.0
42,2057.0,0.0,227.2817,-0.0,3115.6984,0.0
43,2058.0,0.0,227.2817,-0.0,3165.0487,0.0
44,2059.0,0.0,227.2817,-0.0,3224.3704,0.0
45,2060.0,0.0,227.2817,-0.0,3289.1704,0.0
46,2061.0,0.0,227.2817,-0.0,3390.2668,0.0
47,2062.0,0.0,227.2817,-0.0,3499.8166,0.0
48,2063.0,0.0,227.2817,-0.0,3613.0419,0.0
49,2064.0,0.0,227.2817,-0.0,3724.7471,0.0
50,2065.0,0.0,227.2817,-0.0,3809.5578,0.0
51,2066.0,0.0,227.2817,-0.0,3897.0572,0.0
52,2067.0,0.0,227.2817,-0.0,3979.7579,0.0
53,2068.0,0.0,227.2817,-0.0,4096.8934,0.0
54,2069.0,0.0,227.2817,-0.0,4239.7743,0.0
55,2070.0,0.0,227.2817,-0.0,4350.3419,0.0
