,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new)
0,2015.0,0.0,0.0,1.0,0.35,0.6,0.0,0.25,1.95
1,2016.0,0.0,1.0,0.0,0.522,0.0,0.0,0.5,0.65
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33
3,2018.0,0.0,0.0,0.0,0.0,0.0,9.6,4.8,1.95
4,2025.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2033.0,0.0,0.0,0.0,0.0,0.5908208998491323,0.0,0.0,0.0
7,2034.0,0.0,0.0,0.0,0.0,0.846569694959057,0.445495204213236,0.7359297981502056,0.0
8,2035.0,1.0,0.0,0.0,0.0,0.9943177213450357,0.0,0.0,0.0
9,2036.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9573062856901805,0.0
10,2037.0,1.0,0.0,0.0,0.0,0.954700791444391,0.0,0.0,0.0
11,2038.0,1.0,0.0,0.0,0.0,0.0,0.9390425096387819,0.0,0.0
12,2039.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4948301611494196,0.0
13,2040.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3603947364772968
14,2041.0,1.5,0.0,0.0,0.0,0.9650585968327142,1.5,0.0,0.0
15,2042.0,0.5000000000000261,0.0,0.0,0.0,0.0,0.0,0.9974530136935285,0.3156567429445091
16,2043.0,0.4999999999999992,0.0,0.0,0.0,0.0,0.2961767330121389,1.5,1.5
17,2044.0,0.5000000000000127,0.0,0.0,0.0,0.8468304077366927,0.04834227364273236,0.0,0.4700960233710176
18,2045.0,0.5000000000000069,0.0,0.0,0.0,1.5,0.0,0.897259282798445,0.0
19,2046.0,0.0,0.0,0.0,0.0,0.5428161137257812,1.5,1.5,0.0
20,2047.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5
21,2048.0,1.5000000000000198,0.0,0.0,0.0,1.5,1.5,1.5,1.5
22,2049.0,0.5000000000000104,0.0,0.0,0.0,1.5,1.5,1.5,0.0
23,2050.0,0.5000000000000036,0.0,0.0,0.0,1.5,0.13432716544241244,0.0,0.0
24,2051.0,0.5000000000000107,0.0,0.0,0.0,0.03909716397037734,1.5,1.5,0.0
25,2052.0,0.5000000000000038,0.0,0.0,0.0,0.0,0.3920260257953972,1.5,0.0
26,2053.0,0.5000000000000104,0.0,0.0,0.0,0.4720806973383127,1.5,0.0,0.0
27,2054.0,0.49999999999989697,0.0,0.0,0.0,0.0,1.5,0.44254135371679887,0.040379021824818034
28,2055.0,1.5,0.0,0.0,0.0,1.3207274005314262,1.5,0.0,0.1734982170356867
29,2056.0,1.5,0.0,0.0,0.0,1.5,0.4403548066040743,1.5,0.2874352618993861
30,2057.0,1.5,0.0,0.0,0.0,0.853431246045126,0.0,0.0,0.2667716032295944
31,2058.0,1.5,0.0,0.0,0.0,0.0,0.0,1.1082299602321934,0.0
32,2059.0,1.5,0.0,0.0,0.0,0.0,1.1548508776684683,0.0,0.3417931821364736
33,2060.0,1.5,0.0,0.0,0.0,0.0,0.0,1.2283650822281285,0.39193242382591303
34,2061.0,0.5,0.0,0.0,0.0,0.0,1.9292043415258784,0.33883304382806384,0.0
35,2062.0,0.5,0.0,0.0,0.0,2.329641634444879,0.0,0.0,0.21659284987398003
36,2063.0,0.5000000000000002,0.0,0.0,0.0,0.528882462545176,2.5,0.0,0.2222036473857823
37,2064.0,0.4999999999999998,0.0,0.0,0.0,1.9562576443603312,0.0,2.5,0.0
38,2065.0,1.4999999999999982,0.0,0.0,0.0,0.0,2.5,0.5193425761815202,0.08777291958868597
39,2066.0,1.5,0.0,0.0,0.0,0.0,0.2647161642348177,2.5,0.24688502877409652
40,2067.0,1.5,0.0,0.0,0.0,2.5,0.39996284891715983,0.0,0.0015735249409964444
41,2068.0,1.5,0.0,0.0,0.0,1.0068408628839263,2.5,0.0,1.8061467495208536
42,2069.0,1.5,0.0,0.0,0.0,2.2639474235824335,0.0,2.5,0.7681139975165437
43,2070.0,1.5000000000000018,0.0,0.0,0.0,0.0,2.5,2.3471062412228436,0.8083378126264811
