"TECHNOLOGY","VALUE"
"EGBM00I00X","99999999"
"EGBM00X00X","99999999"
"EGCO00I00X","99999999"
"EGCO00X00X","455.9994577017264"
"EGLF00I00X","99999999"
"EGHF00I00X","99999999"
"EGCR00I00X","99999999"
"EGCR00X00X","26923.6"
"EGCRUDPROX","99999999"
"EGCRUDRE1X","99999999"
"EGCRUDRE2X","99999999"
"EGNG00ILGX","99999999"
"EGNG00ELGX","99999999"
"EGNG00X00X","83649.47003374001"
"EGSOLAR00X","99999999"
"EGWIND000X","99999999"
"EGUR00I00X","99999999"
"EGUR00X00X","0"
"EGCH00I00X","99999999"
"EGETHANOLX","99999999"
"EGNPCHA00X","99999999"
"EGBIOFUELX","99999999"
"ETBM00I00X","99999999"
"ETBM00X00X","99999999"
"ETCO00I00X","99999999"
"ETCO00X00X","0"
"ETLF00I00X","99999999"
"ETHF00I00X","99999999"
"ETCR00I00X","99999999"
"ETCR00X00X","2.618932"
"ETCRUDPROX","99999999"
"ETCRUDRE1X","99999999"
"ETCRUDRE2X","99999999"
"ETNG00ILGX","99999999"
"ETNG00ELGX","99999999"
"ETNG00X00X","953.517274996"
"ETSOLAR00X","99999999"
"ETWIND000X","99999999"
"ETUR00I00X","99999999"
"ETUR00X00X","0"
"ETCH00I00X","99999999"
"ETETHANOLX","99999999"
"ETNPCHA00X","99999999"
"SDBM00I00X","99999999"
"SDBM00X00X","99999999"
"SDCO00I00X","99999999"
"SDCO00X00X","0"
"SDLF00I00X","99999999"
"SDHF00I00X","99999999"
"SDCR00I00X","99999999"
"SDCR00X00X","1236.038"
"SDCRUDPROX","99999999"
"SDCRUDRE1X","99999999"
"SDCRUDRE2X","99999999"
"SDNG00ILGX","99999999"
"SDNG00ELGX","99999999"
"SDNG00X00X","3250.606417377272"
"SDSOLAR00X","99999999"
"SDWIND000X","99999999"
"SDUR00I00X","99999999"
"SDUR00X00X","0"
"SDCH00I00X","99999999"
"SDETHANOLX","99999999"
"SDNPCHA00X","99999999"
"SSBM00I00X","99999999"
"SSBM00X00X","99999999"
"SSCO00I00X","99999999"
"SSCO00X00X","0"
"SSLF00I00X","99999999"
"SSHF00I00X","99999999"
"SSCR00I00X","99999999"
"SSCR00X00X","2888.168"
"SSCRUDPROX","99999999"
"SSCRUDRE1X","99999999"
"SSCRUDRE2X","99999999"
"SSNG00ILGX","99999999"
"SSNG00ELGX","99999999"
"SSNG00X00X","2437.859150689888"
"SSSOLAR00X","99999999"
"SSWIND000X","99999999"
"SSUR00I00X","99999999"
"SSUR00X00X","0"
"SSCH00I00X","99999999"
"SSETHANOLX","99999999"
"SSNPCHA00X","99999999"
