"TECHNOLOGY","VALUE"
"EGBACKSTOP","31.536"
"EGBMCHC01N","31.536"
"EGBMCHC02N","31.536"
"EGBMCHC03N","31.536"
"EGBMCHC04N","31.536"
"EGBMCHP01O","31.536"
"EGBMCHP02O","31.536"
"EGBMCHP03O","31.536"
"EGBMCHP04O","31.536"
"EGBMCHP01N","31.536"
"EGBMCHP02N","31.536"
"EGBMCHP03N","31.536"
"EGBMCHP04N","31.536"
"EGCOSCP01O","31.536"
"EGCOSCP02O","31.536"
"EGCOSCP03O","31.536"
"EGCOSCP04O","31.536"
"EGCOSCP01N","31.536"
"EGCOSCP02N","31.536"
"EGCOSCP03N","31.536"
"EGCOSCP04N","31.536"
"EGCOSCC01N","31.536"
"EGCOSCC02N","31.536"
"EGCOSCC03N","31.536"
"EGCOSCC04N","31.536"
"EGLFRCP01O","31.536"
"EGLFRCP02O","31.536"
"EGLFRCP03O","31.536"
"EGLFRCP04O","31.536"
"EGLFRCP01N","31.536"
"EGLFRCP02N","31.536"
"EGLFRCP03N","31.536"
"EGLFRCP04N","31.536"
"EGNGCCP01O","31.536"
"EGNGCCP02O","31.536"
"EGNGCCP03O","31.536"
"EGNGCCP04O","31.536"
"EGNGCCP01N","31.536"
"EGNGCCP02N","31.536"
"EGNGCCP03N","31.536"
"EGNGCCP04N","31.536"
"EGNGCCC01N","31.536"
"EGNGCCC02N","31.536"
"EGNGCCC03N","31.536"
"EGNGCCC04N","31.536"
"EGNGGCP01O","31.536"
"EGNGGCP02O","31.536"
"EGNGGCP03O","31.536"
"EGNGGCP04O","31.536"
"EGNGGCP01N","31.536"
"EGNGGCP02N","31.536"
"EGNGGCP03N","31.536"
"EGNGGCP04N","31.536"
"EGHFGCP01O","31.536"
"EGHFGCP02O","31.536"
"EGHFGCP03O","31.536"
"EGHFGCP04O","31.536"
"EGHFGCP01N","31.536"
"EGHFGCP02N","31.536"
"EGHFGCP03N","31.536"
"EGHFGCP04N","31.536"
"EGWINDP00X","31.536"
"EGWINDP01X","31.536"
"EGNULWP04O","31.536"
"EGNULWP04N","31.536"
"EGGOCVP02O","31.536"
"EGGOCVP02N","31.536"
"EGEL00T00X","31.536"
"EGEL00TDTX","31.536"
"EGLFRCFURX","31.536"
"EGSOU1P03X","31.536"
"EGSOV1F01X","31.536"
"EGSOV2F01X","31.536"
"EGSOC1P00X","31.536"
"EGSOC2P00X","31.536"
"EGELSDBP00","31.536"
"EGELJOBP00","31.536"
"EGELSABP00","31.536"
"LYELEGBP00","31.536"
"ETBACKSTOP","31.536"
"ETBMCHC01N","31.536"
"ETBMCHC02N","31.536"
"ETBMCHC03N","31.536"
"ETBMCHC04N","31.536"
"ETBMCHP01O","31.536"
"ETBMCHP02O","31.536"
"ETBMCHP03O","31.536"
"ETBMCHP04O","31.536"
"ETBMCHP01N","31.536"
"ETBMCHP02N","31.536"
"ETBMCHP03N","31.536"
"ETBMCHP04N","31.536"
"ETCOSCP01O","31.536"
"ETCOSCP02O","31.536"
"ETCOSCP03O","31.536"
"ETCOSCP04O","31.536"
"ETCOSCP01N","31.536"
"ETCOSCP02N","31.536"
"ETCOSCP03N","31.536"
"ETCOSCP04N","31.536"
"ETCOSCC01N","31.536"
"ETCOSCC02N","31.536"
"ETCOSCC03N","31.536"
"ETCOSCC04N","31.536"
"ETLFRCP01O","31.536"
"ETLFRCP02O","31.536"
"ETLFRCP03O","31.536"
"ETLFRCP04O","31.536"
"ETLFRCP01N","31.536"
"ETLFRCP02N","31.536"
"ETLFRCP03N","31.536"
"ETLFRCP04N","31.536"
"ETNGCCP01O","31.536"
"ETNGCCP02O","31.536"
"ETNGCCP03O","31.536"
"ETNGCCP04O","31.536"
"ETNGCCP01N","31.536"
"ETNGCCP02N","31.536"
"ETNGCCP03N","31.536"
"ETNGCCP04N","31.536"
"ETNGCCC01N","31.536"
"ETNGCCC02N","31.536"
"ETNGCCC03N","31.536"
"ETNGCCC04N","31.536"
"ETNGGCP01O","31.536"
"ETNGGCP02O","31.536"
"ETNGGCP03O","31.536"
"ETNGGCP04O","31.536"
"ETNGGCP01N","31.536"
"ETNGGCP02N","31.536"
