"TECHNOLOGY","VALUE"
"SDNG00ILGX","25"
"SDNG00ELGX","25"
"SDNG00X00X","35"
"SDSOLAR00X","100"
"SDWIND000X","100"
"SDUR00I00X","100"
"SDUR00X00X","50"
"SDCH00I00X","100"
"SDETHANOLX","100"
"SDBMCHC01N","40"
"SDBMCHC02N","40"
"SDBMCHC03N","40"
"SDBMCHC04N","40"
"SDBMCHP01O","40"
"SDBMCHP02O","40"
"SDBMCHP03O","40"
"SDBMCHP04O","40"
"SDBMCHP01N","40"
"SDBMCHP02N","40"
"SDBMCHP03N","40"
"SDBMCHP04N","40"
"SDCOSCP01O","30"
"SDCOSCP02O","30"
"SDCOSCP03O","30"
"SDCOSCP04O","30"
"SDCOSCP01N","30"
"SDCOSCP02N","30"
"SDCOSCP03N","30"
"SDCOSCP04N","30"
"SDCOSCC01N","30"
"SDCOSCC02N","30"
"SDCOSCC03N","30"
"SDCOSCC04N","30"
"SDLFRCP01O","25"
"SDLFRCP02O","25"
"SDLFRCP03O","25"
"SDLFRCP04O","25"
"SDLFRCP01N","25"
"SDLFRCP02N","25"
"SDLFRCP03N","25"
"SDLFRCP04N","25"
"SDNGCCP01O","30"
"SDNGCCP02O","30"
"SDNGCCP03O","30"
"SDNGCCP04O","30"
"SDNGCCP01N","30"
"SDNGCCP02N","30"
"SDNGCCP03N","30"
"SDNGCCP04N","30"
"SDNGCCC01N","30"
"SDNGCCC02N","30"
"SDNGCCC03N","30"
"SDNGCCC04N","30"
"SDNGGCP01O","25"
"SDNGGCP02O","25"
"SDNGGCP03O","25"
"SDNGGCP04O","25"
"SDNGGCP01N","25"
"SDNGGCP02N","25"
"SDNGGCP03N","25"
"SDNGGCP04N","25"
"SDHFGCP01O","25"
"SDHFGCP02O","25"
"SDHFGCP03O","25"
"SDHFGCP04O","25"
"SDHFGCP01N","25"
"SDHFGCP02N","25"
"SDHFGCP03N","25"
"SDHFGCP04N","25"
"SDWINDP00X","25"
"SDWINDP01X","25"
"SDNULWP04O","60"
"SDNULWP04N","60"
"SDGOCVP02O","25"
"SDGOCVP02N","25"
"SDNPCHA00X","35"
"SDBIOFUELX","35"
"SDHE00T00X","70"
"SDEL00T00X","70"
"SDEL00TDTX","70"
"SDLFRCFURX","10"
"SDSOU1P03X","25"
"SDSOV1F01X","20"
"SDSOV2F01X","20"
"SDSOC1P00X","25"
"SDSOC2P00X","25"
"ETELKEBP00","100"
"ETELDJBP00","100"
"ETELSDBP00","100"
"ETNGDJBP00","100"
"SSBACKSTOP","1"
"SSWA00000X","100"
"SSLF00P00X","100"
"SSHF00P00X","100"
"SSCR00P00X","100"
"SSNG00P00X","100"
"SSBM00I00X","100"
"SSBM00X00X","35"
"SSCO00I00X","100"
"SSCO00X00X","35"
"SSLF00I00X","100"
"SSHF00I00X","100"
"SSCR00I00X","100"
"SSCR00X00X","35"
"SSCRUDPROX","35"
"SSCRUDRE1X","35"
"SSCRUDRE2X","35"
"SSNG00ILGX","25"
"SSNG00ELGX","25"
"SSNG00X00X","35"
"SSSOLAR00X","100"
"SSWIND000X","100"
"SSUR00I00X","100"
"SSUR00X00X","50"
"SSCH00I00X","100"
"SSETHANOLX","100"
"SSBMCHC01N","40"
"SSBMCHC02N","40"
"SSBMCHC03N","40"
"SSBMCHC04N","40"
"SSBMCHP01O","40"
"SSBMCHP02O","40"
"SSBMCHP03O","40"
"SSBMCHP04O","40"
"SSBMCHP01N","40"
"SSBMCHP02N","40"
"SSBMCHP03N","40"
"SSBMCHP04N","40"
"SSCOSCP01O","30"
"SSCOSCP02O","30"
"SSCOSCP03O","30"
"SSCOSCP04O","30"
"SSCOSCP01N","30"
"SSCOSCP02N","30"
"SSCOSCP03N","30"
"SSCOSCP04N","30"
"SSCOSCC01N","30"
"SSCOSCC02N","30"
"SSCOSCC03N","30"
"SSCOSCC04N","30"
"SSLFRCP01O","25"
"SSLFRCP02O","25"
"SSLFRCP03O","25"
"SSLFRCP04O","25"
"SSLFRCP01N","25"
"SSLFRCP02N","25"
"SSLFRCP03N","25"
"SSLFRCP04N","25"
"SSNGCCP01O","30"
"SSNGCCP02O","30"
"SSNGCCP03O","30"
"SSNGCCP04O","30"
"SSNGCCP01N","30"
"SSNGCCP02N","30"
"SSNGCCP03N","30"
"SSNGCCP04N","30"
"SSNGCCC01N","30"
"SSNGCCC02N","30"
"SSNGCCC03N","30"
"SSNGCCC04N","30"
"SSNGGCP01O","25"
"SSNGGCP02O","25"
"SSNGGCP03O","25"
"SSNGGCP04O","25"
"SSNGGCP01N","25"
"SSNGGCP02N","25"
"SSNGGCP03N","25"
"SSNGGCP04N","25"
"SSHFGCP01O","25"
"SSHFGCP02O","25"
"SSHFGCP03O","25"
"SSHFGCP04O","25"
"SSHFGCP01N","25"
"SSHFGCP02N","25"
"SSHFGCP03N","25"
"SSHFGCP04N","25"
"SSWINDP00X","25"
"SSWINDP01X","25"
"SSNULWP04O","60"
"SSNULWP04N","60"
"SSGOCVP02O","25"
"SSGOCVP02N","25"
"SSNPCHA00X","35"
"SSBIOFUELX","35"
"SSHE00T00X","70"
"SSEL00T00X","70"
