"EGCH4"
"EGN20"
"EGFGA"
"EGCO2"
"EGREN"
"ETN20"
"ETFGA"
"ETCO2"
"ETREN"
"ETCH4"
"SDN20"
"SDFGA"
"SDCO2"
"SDREN"
"SDCH4"
"SSN20"
"SSFGA"
"SSCO2"
"SSREN"
"SSCH4"
"DZLYC"
"MATNC"
"RSACO"
