"EGDUEL"
"EGDUNG"
"EGDULG"
"EGCRU1"
"EGCRU2"
"EGBIOM"
"EGCOAL"
"EGLFOI"
"EGGASF"
"EGHFOI"
"EGSOLA"
"EGWIND"
"EGURAN"
"EGCHAR"
"EGWAT1"
"EGWAT2"
"EGEL01"
"EGHE2X"
"EGEL02"
"EGFW3X"
"EGHE3X"
"EGEL03"
"EGHF3X"
"EGLF3X"
"EGCH3X"
"EGGA3X"
"EGCO3X"
"EGBO3X"
"EGCR3X"
"EGETHA"
"ETDUNG"
"ETDULG"
"ETCRU1"
"ETCRU2"
"ETBIOM"
"ETCOAL"
"ETLFOI"
"ETGASF"
"ETHFOI"
"ETSOLA"
"ETWIND"
"ETURAN"
"ETCHAR"
"ETWAT1"
"ETWAT2"
"ETEL01"
"ETHE2X"
"ETEL02"
"ETFW3X"
"ETHE3X"
"ETEL03"
"ETHF3X"
"ETLF3X"
"ETCH3X"
"ETGA3X"
"ETCO3X"
"ETBO3X"
"ETCR3X"
"ETETHA"
"ETDUEL"
"SDDUNG"
"SDDULG"
"SDCRU1"
"SDCRU2"
"SDBIOM"
"SDCOAL"
"SDLFOI"
"SDGASF"
"SDHFOI"
"SDSOLA"
"SDWIND"
"SDURAN"
"SDCHAR"
"SDWAT1"
"SDWAT2"
"SDEL01"
"SDHE2X"
"SDEL02"
"SDFW3X"
"SDHE3X"
"SDEL03"
"SDHF3X"
"SDLF3X"
"SDCH3X"
"SDGA3X"
"SDCO3X"
"SDBO3X"
"SDCR3X"
"SDETHA"
"SDDUEL"
"SSDUNG"
"SSDULG"
"SSCRU1"
"SSCRU2"
"SSBIOM"
"SSCOAL"
"SSLFOI"
"SSGASF"
"SSHFOI"
"SSSOLA"
"SSWIND"
"SSURAN"
"SSCHAR"
"SSWAT1"
"SSWAT2"
"SSEL01"
"SSHE2X"
"SSEL02"
"SSFW3X"
"SSHE3X"
"SSEL03"
"SSHF3X"
"SSLF3X"
"SSCH3X"
"SSGA3X"
"SSCO3X"
"SSBO3X"
"SSCR3X"
"SSETHA"
"SSDUEL"
"EGCOEX"
"EGCREX"
"SSCREX"
"SDCREX"
"EGLFEX"
"EGHFEX"
"SDLFEX"
"SDHFEX"
"EGFWEX"
