"TECHNOLOGY","2015.0","2016.0","2017.0","2018.0","2019.0","2020.0","2021.0","2022.0","2023.0","2024.0","2025.0","2026.0","2027.0","2028.0","2029.0","2030.0","2031.0","2032.0","2033.0","2034.0","2035.0","2036.0","2037.0","2038.0","2039.0","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"EGCRUDRE1X","1107.37","1073.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGNGGCP02O","11.76146504496","11.76146504496","11.76146504496","11.76146504496","11.76146504496","11.76146504496","11.173391792712","10.585318540464","9.997245288216002","9.409172035968002","8.821098783720002","8.233025531472002","7.644952279224","7.056879026976","6.468805774728001","5.88073252248","5.292659270232001","4.704586017984001","4.116512765736001","3.528439513488002","2.94036626124","2.352293008992","1.764219756744","1.176146504495999","0.5880732522480008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGNGGCP04O","61.2463066548768","61.2463066548768","61.2463066548768","61.2463066548768","61.2463066548768","61.2463066548768","58.18399132213296","55.12167598938912","52.0593606566453","48.99704532390145","45.9347299911576","42.87241465841376","39.81009932566993","36.74778399292609","33.68546866018224","30.6231533274384","27.56083799469456","24.49852266195072","21.43620732920688","18.37389199646304","15.3115766637192","12.24926133097536","9.186945998231522","6.124630665487678","3.062315332743842","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGNGCCP01O","11.139808176","11.139808176","11.139808176","11.139808176","11.139808176","11.139808176","10.5828177672","10.0258273584","9.4688369496","8.911846540800001","8.354856132","7.797865723200001","7.240875314399999","6.6838849056","6.126894496799999","5.569904087999999","5.0129136792","4.4559232704","3.898932861600001","3.3419424528","2.784952044","2.2279616352","1.6709712264","1.1139808176","0.5569904088000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGNGCCP02O","3.843410643072","3.843410643072","3.843410643072","3.843410643072","3.843410643072","3.843410643072","3.6512401109184","3.4590695787648","3.2668990466112","3.0747285144576","2.882557982303999","2.6903874501504","2.4982169179968","2.3060463858432","2.1138758536896","1.921705321536","1.7295347893824","1.5373642572288","1.3451937250752","1.1530231929216","0.9608526607680002","0.7686821286143996","0.5765115964608002","0.3843410643072002","0.1921705321536001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGNGCCP04O","53.45481158841602","53.45481158841602","53.45481158841602","53.45481158841602","53.45481158841602","53.45481158841602","50.7820710089952","48.10933042957441","45.43658985015361","42.76384927073281","40.09110869131201","37.41836811189121","34.74562753247042","32.0728869530496","29.4001463736288","26.72740579420801","24.0546652147872","21.38192463536641","18.70918405594561","16.0364434765248","13.363702897104","10.6909623176832","8.018221738262401","5.345481158841598","2.672740579420803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGLFRCP04O","1.431058772736","1.431058772736","1.431058772736","1.431058772736","1.431058772736","1.431058772736","1.3595058340992","1.2879528954624","1.2163999568256","1.1448470181888","1.073294079552","1.0017411409152","0.9301882022783998","0.8586352636415996","0.7870823250047998","0.7155293863679998","0.6439764477311999","0.5724235090943998","0.5008705704575999","0.4293176318208","0.3577646931839998","0.2862117545471998","0.2146588159104","0.1431058772736","0.07155293863680012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGHFGCP01O","0.6759836208000001","0.6759836208000001","0.6759836208000001","0.6759836208000001","0.6759836208000001","0.6759836208000001","0.64218443976","0.6083852587199999","0.57458607768","0.54078689664","0.5069877156","0.47318853456","0.43938935352","0.40559017248","0.3717909914400001","0.3379918104","0.30419262936","0.2703934483200001","0.23659426728","0.20279508624","0.1689959052000001","0.13519672416","0.10139754312","0.06759836207999996","0.03379918103999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGHFGCP02O","0.5838259680000001","0.5838259680000001","0.5838259680000001","0.5838259680000001","0.5838259680000001","0.5838259680000001","0.5546346696","0.5254433712000001","0.4962520728000001","0.4670607744","0.437869476","0.4086781776","0.3794868792000001","0.3502955808000001","0.3211042823999999","0.291912984","0.2627216856","0.2335303872000001","0.2043390888","0.1751477904000001","0.145956492","0.1167651935999999","0.08757389520000003","0.05838259679999996","0.02919129840000005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EGHFGCP04O","4.884206023152","4.884206023152","4.884206023152","4.884206023152","4.884206023152","4.884206023152","4.639995721994399","4.395785420836799","4.1515751196792","3.9073648185216","3.663154517363999","3.418944216206399","3.174733915048801","2.9305236138912","2.6863133127336","2.442103011576","2.1978927104184","1.9536824092608","1.709472108103199","1.4652618069456","1.221051505788","0.9768412046303999","0.7326309034728004","0.4884206023152","0.2442103011576003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
