r,e,y,AnnualEmissions
REGION,EGCO2,2015.0,208.8454
REGION,EGCO2,2016.0,206.8973
REGION,EGCO2,2017.0,203.8231
REGION,EGCO2,2018.0,203.7493
REGION,EGCO2,2019.0,204.8435
REGION,EGCO2,2020.0,174.2302
REGION,EGCO2,2021.0,175.34
REGION,EGCO2,2022.0,176.4498
REGION,EGCO2,2023.0,177.5597
REGION,EGCO2,2024.0,178.6695
REGION,EGCO2,2025.0,179.7793
REGION,EGCO2,2026.0,180.8891
REGION,EGCO2,2027.0,181.9989
REGION,EGCO2,2028.0,183.1088
REGION,EGCO2,2029.0,184.2186
REGION,EGCO2,2030.0,185.3284
REGION,EGCO2,2031.0,181.7352
REGION,EGCO2,2032.0,178.142
REGION,EGCO2,2033.0,174.5489
REGION,EGCO2,2034.0,170.9557
REGION,EGCO2,2035.0,167.3625
REGION,EGCO2,2036.0,163.7693
REGION,EGCO2,2037.0,160.1761
REGION,EGCO2,2038.0,156.583
REGION,EGCO2,2039.0,152.9898
REGION,EGCO2,2040.0,149.3966
REGION,EGCO2,2041.0,143.2442
REGION,EGCO2,2042.0,137.0918
REGION,EGCO2,2043.0,130.9393
REGION,EGCO2,2044.0,124.7869
REGION,EGCO2,2045.0,118.6345
REGION,EGCO2,2046.0,112.482
REGION,EGCO2,2047.0,106.3296
REGION,EGCO2,2048.0,100.1772
REGION,EGCO2,2049.0,94.0247
REGION,EGCO2,2050.0,87.8723
REGION,EGCO2,2051.0,82.1225
REGION,EGCO2,2052.0,76.7488
REGION,EGCO2,2053.0,71.7269
REGION,EGCO2,2054.0,67.0335
REGION,EGCO2,2055.0,62.6472
REGION,EGCO2,2056.0,58.5479
REGION,EGCO2,2057.0,54.7169
REGION,EGCO2,2058.0,51.1365
REGION,EGCO2,2059.0,47.7905
REGION,EGCO2,2060.0,44.6633
REGION,EGCO2,2061.0,41.7408
REGION,EGCO2,2062.0,39.0095
REGION,EGCO2,2063.0,36.457
REGION,EGCO2,2064.0,34.0715
REGION,EGCO2,2065.0,31.842
REGION,EGCO2,2066.0,29.7585
REGION,EGCO2,2067.0,27.8112
REGION,EGCO2,2068.0,25.9914
REGION,EGCO2,2069.0,24.2907
REGION,EGCO2,2070.0,22.7013
REGION,EGREN,2015.0,0.0
REGION,EGREN,2016.0,0.0
REGION,EGREN,2017.0,0.0
REGION,EGREN,2018.0,0.0
REGION,EGREN,2019.0,0.0
