r,t,y,CapitalInvestment
REGION,EGCRUDPROX,2020, 2.4247454069986379e+03
REGION,EGNG00ILGX,2049, 1124.85063122258
REGION,EGNG00ILGX,2050, 1.6365765982873091e+02
REGION,EGNG00ILGX,2057, 3.7134033505160325e+01
REGION,EGNG00ILGX,2058, 5.3648038649125077e+01
REGION,EGNG00ILGX,2059, 5.5902256010970724e+01
REGION,EGNG00ILGX,2060, 5.9067721601890625e+01
REGION,EGNG00ILGX,2061, 5.8423075873280631e+01
REGION,EGNG00ILGX,2062, 61.4690156393879
REGION,EGNG00ILGX,2063, 6.6974317727523470e+01
REGION,EGNG00ILGX,2064, 70.0898317522351
REGION,EGNG00ILGX,2065, 7.3290843237035673e+01
REGION,EGNG00ILGX,2066, 1.0175025582243514e+02
REGION,EGNG00ILGX,2069, 5.0967779946454392e+00
REGION,EGNG00ELGX,2015, 332.20815063072
REGION,EGNG00ELGX,2017, 450.85391871312
REGION,EGBMCHC04N,2021, 767.49
REGION,EGBMCHC04N,2022, 7.6628000000000009e+02
REGION,EGBMCHC04N,2023, 765.07
REGION,EGBMCHC04N,2024, 7.6386000000000013e+02
REGION,EGBMCHC04N,2025, 7.6265000000000009e+02
REGION,EGBMCHC04N,2026, 761.44
REGION,EGBMCHC04N,2027, 760.23
REGION,EGBMCHC04N,2028, 759.02
REGION,EGBMCHC04N,2029, 7.5781000000000006e+02
REGION,EGBMCHC04N,2030, 756.6
REGION,EGBMCHC04N,2041, 743.29
REGION,EGBMCHC04N,2042, 742.08
REGION,EGBMCHC04N,2043, 3.7043500000000034e+02
REGION,EGBMCHC04N,2051, 731.19
REGION,EGBMCHC04N,2052, 729.98
REGION,EGBMCHC04N,2053, 3.6438499999999868e+02
REGION,EGBMCHC04N,2061, 719.09
REGION,EGBMCHC04N,2062, 7.1788000000000011e+02
REGION,EGBMCHC04N,2063, 7.1667000000000064e+02
REGION,EGBMCHC04N,2064, 7.1546000000000072e+02
REGION,EGBMCHC04N,2065, 7.1425000000000068e+02
REGION,EGBMCHC04N,2066, 7.1303999999999985e+02
REGION,EGBMCHC04N,2067, 7.1182999999999981e+02
REGION,EGBMCHC04N,2068, 7.1061999999999978e+02
REGION,EGBMCHC04N,2069, 7.0940999999999985e+02
REGION,EGBMCHC04N,2070, 7.0819999999999982e+02
REGION,EGBMCHP04N,2016, 1445.95
REGION,EGBMCHP04N,2021, 567.49
REGION,EGBMCHP04N,2022, 553.994528413603
REGION,EGBMCHP04N,2054, 5.2755999999999938e+02
REGION,EGBMCHP04N,2055, 526.35
REGION,EGBMCHP04N,2056, 525.14
