r,t,y,v
REGION,ETSOFPVBB3,2068, 0.467
REGION,ETSOFPVCY3,2060, 2.8000000000000008e-01
REGION,ETSOFPVGJ3,2070, 0.216
REGION,ETSOFPVKR3,2057, 8.0356875122744767e-02
REGION,ETSOFPVKR3,2058, 8.0107772883381589e-01
REGION,ETSOFPVKR3,2060, 0.598489684973851
REGION,ETSOFPVKR3,2061, 1.2007571106958836e-01
REGION,ETSOFPVLS3,2070, 0.55
REGION,ETSOFPVT23,2063, 2.0909964043458837e-01
REGION,ETSOFPVT23,2066, 1.6126555719055527e-01
REGION,ETSOFPVT23,2067, 9.6348023748563660e-03
REGION,SDSOFPVDG3,2051, 3.1200000000001521e-01
REGION,SDSOFPVDL3,2051, 6.4800000000001778e-01
REGION,SDSOFPVKB3,2051, 0.36
REGION,SDSOFPVMG3,2051, 3.1200000000001465e-01
REGION,SDSOFPVSB3,2056, 7.7345169193879515e-02
REGION,SDSOFPVSB3,2057, 1.2765483080612045e-01
REGION,SDSOFPVSH3,2051, 1.0627307226370854e-01
REGION,SDSOFPVSH3,2052, 3.1372692773631655e-01
