,y,"Coal imports (inland transport, maritime freight)"
0,2036.0,66.1181
1,2037.0,191.2637
2,2038.0,298.5218
3,2039.0,398.5656
4,2040.0,407.5268
5,2041.0,407.5268
6,2042.0,407.5268
7,2043.0,407.5268
8,2044.0,417.2853
9,2045.0,446.6556
10,2046.0,476.3067
11,2047.0,476.3067
12,2048.0,502.2222
13,2049.0,527.01
14,2050.0,555.9736
15,2051.0,609.1329
16,2052.0,611.1579
17,2053.0,611.1579
18,2054.0,611.3385
19,2055.0,609.372
20,2056.0,608.0533
21,2057.0,595.8473
22,2058.0,584.2201
23,2059.0,573.2223
24,2060.0,565.0602
25,2061.0,558.8832
26,2062.0,552.6805
27,2063.0,545.6884
28,2064.0,538.1132
29,2065.0,535.1057
30,2066.0,496.5729
31,2067.0,476.0262
32,2068.0,481.5719
33,2069.0,471.095
34,2070.0,468.2751
