,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.23808,0.0,0.0,0.405,1.500386,0.0328,0.0288,1.53,0.00029175151850849735,0.32015,0.0312,0.0,0.0,0.011099999999999999,0.0
1,2016.0,0.23808,0.0,0.0,0.405,1.500386,0.0328,0.0288,1.53,0.010840175856432434,0.32015,0.0312,0.0,0.0,0.0121,0.0
2,2017.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010840175856432434,0.32015,0.0312,0.0,0.0,0.0131,0.0
3,2018.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010840175856432434,0.32015,0.0312,0.0,0.0,0.0131,0.0
4,2019.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010840175856432434,0.32015,0.0312,0.0,0.0,0.0131,0.0
5,2020.0,0.23808,0.0,0.0,0.405,1.500386,0.0478,0.0288,1.85,0.010840175856432434,0.32015,0.0312,0.0,0.0,0.012694999999999998,0.0
6,2021.0,0.226176,0.0,0.0,0.38475,1.4253667,0.0478,0.0288,1.85,0.010840175856432434,0.3041425,0.02964,1.2890155961108658,0.0,0.012289999999999999,0.0
7,2022.0,0.214272,0.0,0.0,0.3645,1.3503474,0.0478,0.0288,1.85,0.010840175856432434,0.288135,0.02808,1.2890155961108658,0.0,0.011885,0.0
8,2023.0,0.202368,0.0,0.0,0.34425,1.2753281,0.0478,0.0288,1.85,0.010840175856432434,0.2721275,0.02652,1.2890155961108658,0.0,0.01148,0.0
9,2024.0,0.190464,0.0,0.1,0.324,1.2003088,0.0478,0.0288,1.85,0.010840175856432434,0.25612,0.02496,1.2890155961108658,0.0,0.011074999999999998,0.0
10,2025.0,0.11904,0.0,0.2,0.30375,1.1252895,0.0478,0.0288,1.85,0.010548424337923936,0.2401125,0.0234,1.2890155961108658,0.0,0.010669999999999999,0.0
11,2026.0,0.107136,0.0,0.30000000000000004,0.2835,1.0502702,0.0478,0.0288,1.85,0.0,0.224105,0.02184,1.2890155961108658,0.0,0.010265,0.0
12,2027.0,0.095232,0.0,0.4000000000000001,0.26325,0.9752509,0.0478,0.0288,1.85,0.0,0.2080975,0.02028,1.2890155961108658,0.0,0.00986,0.0
13,2028.0,0.083328,0.0,0.4000000000000001,0.243,0.9002316,0.0478,0.05400555135355705,1.85,0.0,0.19209,0.01872,1.2890155961108658,0.0,0.009455,0.0
14,2029.0,0.071424,0.0,0.4000000000000001,0.22275,0.8252123,0.0478,0.05400555135355705,2.380071727444122,0.0,0.1760825,0.01716,1.2890155961108658,0.0,0.009049999999999999,0.0
15,2030.0,0.05952,0.0,0.4000000000000001,0.2025,0.750193,0.0478,1.4229139473859171,2.9136204614994896,0.0,0.160075,0.0156,1.2890155961108658,0.0,0.008645,0.25
16,2031.0,0.047616,0.0,0.4000000000000001,0.18225,0.6751737,0.0478,1.520900039516376,2.9136204614994896,0.0,0.1440675,0.01404,1.2890155961108658,0.0,0.411752897685067,0.75
17,2032.0,0.035712,0.0,0.4000000000000001,0.162,0.6001544,0.0478,1.520900039516376,2.962476853337652,0.0,0.12806,0.01248,1.2890155961108658,0.0,1.0564595253507891,1.25
18,2033.0,0.023808,0.0,0.4000000000000001,0.14175,0.5251351,0.0478,1.520900039516376,3.0000000000000004,0.0,0.1120525,0.01092,1.2890155961108658,0.0,1.779528880083658,1.75
19,2034.0,0.011904,0.0,0.4000000000000001,0.1215,0.4501158,0.0478,1.520900039516376,3.0000000000000004,0.0,0.096045,0.00936,1.2890155961108658,0.0,2.587860103420232,2.25
20,2035.0,0.0,0.0,0.4000000000000001,0.10125,0.3750965,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0800375,0.0078,1.2890155961108658,0.0,2.584455103420232,2.25
21,2036.0,0.0,0.9665519339834983,0.4000000000000001,0.081,0.3000772,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.06403,0.00624,1.2890155961108658,0.0,2.9957625710124316,2.75
22,2037.0,0.0,2.7960030807012792,0.4000000000000001,0.06075,0.2250579,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0480225,0.00468,1.2890155961108658,0.0,3.685033368604178,3.25
23,2038.0,0.0,4.363962421694673,0.4000000000000001,0.0405,0.1500386,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.032015,0.00312,1.2890155961108658,0.0,4.466613123461015,3.75
24,2039.0,0.0,5.8264609287550195,0.4000000000000001,0.02025,0.0750193000000002,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0160075,0.00156,1.2890155961108658,0.0,5.3464885265256346,4.25
25,2040.0,0.0,5.957460652169506,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,6.331038811754973,4.75
26,2041.0,0.0,5.957460652169506,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,7.763682669441832,5.25
27,2042.0,0.0,5.957460652169506,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,9.359878816548058,5.75
28,2043.0,0.0,5.957460652169506,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,11.132152297729274,6.25
29,2044.0,0.0,6.100115431550315,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,13.005373189589351,6.75
30,2045.0,0.0,6.5294680131613285,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,14.013202137011936,7.25
31,2046.0,0.0,6.962924349882654,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,15.130076856719468,7.75
32,2047.0,0.0,6.962924349882654,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,16.37001676949827,8.25
33,2048.0,0.0,7.341773080506593,0.4000000000000001,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,19.370016769498275,8.75
34,2049.0,0.0,7.704135390444547,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,21.1387921180431,9.25
35,2050.0,0.0,8.127541005046396,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.2890155961108658,0.0,23.3310897281075,9.5
36,2051.0,0.0,8.904654746710094,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,23.23271545501889,9.5
37,2052.0,0.0,8.934256496405071,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,25.226396687165003,9.5
38,2053.0,0.0,8.934256496405071,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,0.4398455681915064,0.0,27.474455283219122,9.5
39,2054.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.0901889217319691,0.0,29.665719059882548,9.5
40,2055.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,0.0,31.712316904989752,10.0
41,2056.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,0.0,34.29960443739755,10.0
42,2057.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,1.4319932927317585,36.6089286398058,10.0
43,2058.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,3.1680240431149915,38.82694388494895,10.0
44,2059.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,4.998637160774557,40.946663481884336,10.0
45,2060.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,6.683414663941473,42.962113196655004,10.0
46,2061.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,7.829492437246534,44.52946933896815,10.0
47,2062.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,9.152435123722208,45.93327319186192,10.0
48,2063.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,10.749245585757746,47.160999710680706,10.0
49,2064.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,12.539667815531367,48.28777881882063,10.0
50,2065.0,0.0,8.936896520429626,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,13.466326113759921,50.27994987139804,10.0
51,2066.0,0.0,8.384804770028286,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,16.466326113759923,52.16307515169051,10.0
52,2067.0,0.0,8.22041571594931,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,19.466326113759923,53.923135238911705,10.0
53,2068.0,0.0,8.369877421638499,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,22.466326113759926,53.923135238911705,10.0
54,2069.0,0.0,8.331940942408636,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,25.466326113759926,55.15435989036688,10.0
55,2070.0,0.0,8.39226749535563,0.4,0.0,0.0,0.0478,1.8000000000000003,3.0000000000000004,0.0,0.0,0.0,1.3301083751815144,28.466326113759926,55.962062280302476,10.0
