,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2021.0,-0.0,0.0,59.1915
1,2022.0,-0.0,0.0,59.0898
2,2023.0,-0.0,0.0,58.9884
3,2024.0,-0.0,0.0,58.8874
4,2025.0,-584.7455,0.0,746.7226
5,2026.0,-584.7455,0.0,727.1615
6,2027.0,-584.7455,0.0,732.006
7,2028.0,-584.7455,0.0,741.2644
8,2029.0,-0.0,0.0,50.2614
9,2030.0,-0.0,0.0,8.666
10,2031.0,-0.0,0.0,8.3675
11,2032.0,-0.0,7.4021,0.0
12,2033.0,-0.0,6.705,0.0
13,2034.0,-0.0,9.6574,0.0
14,2035.0,-0.0,35.9774,0.0
15,2036.0,-0.0,57.7017,0.0
16,2037.0,-0.0,57.6051,0.0
17,2038.0,-0.0,57.5088,0.0
18,2039.0,-0.0,57.4127,0.0
19,2040.0,-0.0,55.3618,0.0
20,2041.0,-0.0,54.1488,0.0
21,2042.0,-0.0,52.8345,0.0
22,2043.0,-0.0,51.5141,0.0
23,2044.0,-0.0,45.3472,0.0
24,2045.0,-0.0,37.9998,0.0
25,2046.0,-0.0,33.3356,0.0
26,2047.0,-0.0,44.8027,0.0
27,2048.0,-0.0,27.0192,0.0
28,2049.0,-0.0,24.8319,0.0
29,2050.0,-0.0,21.8736,0.0
30,2053.0,-0.0,7.9775,0.0
31,2054.0,-0.0,18.4857,0.0
32,2055.0,-0.0,22.7782,0.0
33,2056.0,-0.0,25.4228,0.0
34,2057.0,-0.0,26.0833,0.0
35,2058.0,-0.0,26.6908,0.0
36,2059.0,-0.0,27.7081,0.0
37,2060.0,-0.0,29.6571,0.0
38,2061.0,-0.0,30.5781,0.0
39,2062.0,-0.0,31.1187,0.0
40,2063.0,-0.0,31.6743,0.0
41,2064.0,-0.0,32.2451,0.0
42,2065.0,-0.0,32.8316,0.0
43,2066.0,-0.0,35.4962,0.0
44,2067.0,-0.0,34.9719,0.0
45,2068.0,-0.0,34.6598,0.0
46,2069.0,-0.0,33.8332,0.0
47,2070.0,-0.0,33.1762,0.0
