,y,CO2
0,2015,15.4823
1,2016,18.0798
2,2017,16.4247
3,2018,15.4666
4,2019,15.0665
5,2020,14.6664
6,2021,25.3958
7,2022,26.3446
8,2023,22.9068
9,2024,18.815
10,2025,53.737
11,2026,53.0778
12,2027,53.6666
13,2028,54.4896
14,2029,20.1017
15,2030,18.3925
16,2031,17.6589
17,2032,17.2282
18,2033,16.7729
19,2034,16.4849
20,2035,16.1832
21,2036,22.6963
22,2037,33.4336
23,2038,42.5692
24,2039,51.0674
25,2040,51.2472
26,2041,50.3062
27,2042,49.4264
28,2043,48.6078
29,2044,48.4779
30,2045,50.1123
31,2046,51.9572
32,2047,52.0001
33,2048,52.9179
34,2049,54.5771
35,2050,56.6097
36,2051,59.8861
37,2052,59.7002
38,2053,59.771
39,2054,60.0147
40,2055,59.7676
41,2056,59.5163
42,2057,58.1992
43,2058,56.9506
44,2059,55.7974
45,2060,54.9648
46,2061,54.2734
47,2062,53.5739
48,2063,52.8166
49,2064,52.0191
50,2065,51.646
51,2066,48.1796
52,2067,46.1835
53,2068,46.5649
54,2069,45.4797
55,2070,45.1025
