,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,3.4214,0.0,0.0,5.9918,0.0,4.6778,7.2394,0.2586,0.4314,22.9188,0.0008,1.5447,0.1505,0.0,0.0,0.0658,0.0
1,2016.0,3.4214,0.0,0.0,5.2101,0.0,9.7706,7.8244,0.2586,0.4314,22.9188,0.044,1.5447,0.1505,0.0,0.0,0.0717,0.0
2,2017.0,3.4214,0.0,0.0,5.9918,0.0,4.5528,7.2394,0.3769,0.4314,27.7123,0.0142,1.5447,0.1505,0.0,0.0,0.0776,0.0
3,2018.0,3.4214,0.0,2.48,5.9918,0.0,1.9541,7.2394,0.3769,0.4314,27.7123,0.0,1.5447,0.1505,0.0,0.0,0.0776,0.0
4,2019.0,3.4214,0.0,2.3474,5.9918,0.0,1.9541,7.2394,0.3769,0.4314,27.7123,0.0,1.5447,0.1505,0.0,0.0,0.0776,0.0
5,2020.0,3.4214,0.0,2.2194,5.9918,0.0,1.9541,7.2394,0.3769,0.4314,27.7123,0.0,1.5447,0.1505,0.0,0.0,0.0752,0.0
6,2021.0,3.2504,0.0,-59.9184,5.9918,0.0,9.2821,34.387,0.3769,0.4314,27.7123,0.0426,1.4675,0.143,34.3902,0.0,0.0728,0.0
7,2022.0,3.0793,0.0,-58.9903,5.9918,0.0,8.7936,32.5772,0.3769,0.4314,27.7123,0.0869,6.4204,0.2127,34.3902,0.0,0.0704,0.0
8,2023.0,2.9082,0.0,-37.91,5.9918,0.0,8.305,20.1219,0.3769,0.4314,27.7123,0.0173,1.313,0.128,34.3902,0.0,0.068,0.0
9,2024.0,2.7371,0.0,-16.3531,5.9918,2.6806,1.5633,5.7915,0.3769,0.4314,27.7123,0.0185,1.2358,0.1204,34.3902,0.0,0.0656,0.0
10,2025.0,1.7107,0.0,-13.3238,5.9918,5.3611,1.4656,5.4295,0.3769,0.4314,27.7123,0.0198,1.1585,0.1129,34.3902,0.0,0.0632,0.0
11,2026.0,1.5396,0.0,0.0,5.9918,8.0417,1.3679,5.0676,0.3769,0.4314,27.7123,0.0,1.0813,0.1054,22.9862,0.0,0.0608,0.0
12,2027.0,1.3686,0.0,0.0,5.9918,10.7222,1.2702,4.7056,0.3769,0.4314,27.7123,0.0,1.0041,0.0979,25.8692,0.0,0.0584,0.0
13,2028.0,1.1975,0.0,0.0,5.9918,10.7222,1.1725,4.3436,0.3769,0.809,27.7123,0.0,0.9268,0.0903,31.3572,0.0,0.056,0.0
14,2029.0,1.0264,0.0,0.0,5.9918,10.7222,1.0748,3.9817,0.3769,0.809,35.6525,0.0,0.8496,0.0828,29.604,0.0,0.0536,0.0
15,2030.0,0.8554,0.0,0.0,5.9918,10.7222,0.9771,3.6197,0.3769,21.3147,43.6449,0.0,0.7724,0.0753,5.1129,0.0,0.0512,2.2698
16,2031.0,0.6843,0.0,0.0,5.9918,10.7222,0.8794,3.2577,0.3769,22.7825,43.6449,0.0,0.6951,0.0677,4.9452,0.0,2.4399,6.8094
17,2032.0,0.5132,0.0,0.0,5.9918,10.7222,0.7817,2.8957,0.3769,22.7825,44.3767,0.0,0.6179,0.0602,4.3821,0.0,6.2602,11.349
18,2033.0,0.3421,0.0,0.0,5.9918,10.7222,0.6839,2.5338,0.3769,22.7825,44.9388,0.0,0.5407,0.0527,3.9761,0.0,10.5448,15.8887
19,2034.0,0.1711,0.0,-1.5373,5.9918,10.7222,0.5862,2.1718,0.3769,22.7825,44.9388,0.0,0.4634,0.0452,5.7365,0.0,15.3347,20.4283
20,2035.0,0.0,0.0,-20.868,5.9918,10.7222,0.4885,1.8098,0.3769,26.9633,44.9388,0.0,0.3862,0.0376,21.4066,0.0,15.3145,20.4283
21,2036.0,0.0,25.7871,-56.5021,5.9918,10.7222,0.3908,1.4479,0.3769,26.9633,44.9388,0.0,0.3089,0.0301,34.3902,0.0,17.7518,24.9679
22,2037.0,0.0,74.5958,-102.874,5.9918,10.7222,0.2931,1.0859,0.3769,26.9633,44.9388,0.0,0.2317,0.0226,34.3902,0.0,21.8362,29.5075
23,2038.0,0.0,116.4281,-142.6327,5.9918,10.7222,0.1954,0.7239,0.3769,26.9633,44.9388,0.0,0.1545,0.0151,34.3902,0.0,26.4675,34.0471
24,2039.0,0.0,155.4468,-179.7337,5.9918,10.7222,0.0977,0.362,0.3769,26.9633,44.9388,0.0,0.0772,0.0075,34.3902,0.0,31.6813,38.5867
25,2040.0,0.0,158.9418,-179.6089,3.5193999999999996,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,33.2171,0.0,37.5154,43.1264
26,2041.0,0.0,158.9418,-179.6713,3.5740999999999996,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,32.5434,0.0,46.0047,47.666
27,2042.0,0.0,158.9418,-179.7383,3.6686000000000005,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,31.8063,0.0,55.4632,52.2056
28,2043.0,0.0,158.9418,-179.7552,3.6863,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,31.063,0.0,65.9651,56.7452
29,2044.0,0.0,162.7478,-179.7552,3.3524000000000003,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,27.3897,0.0,77.0651,61.2848
30,2045.0,0.0,174.2027,-179.7552,3.0174,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,22.9899,0.0,83.0371,65.8244
31,2046.0,0.0,185.767,-179.7552,1.6362,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,20.2014,0.0,89.6553,70.3641
32,2047.0,0.0,185.767,-178.6508,1.4979999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,27.1952,0.0,97.0027,74.9037
33,2048.0,0.0,195.8745,-179.7552,1.4979999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,16.4277,0.0,114.7796,79.4433
34,2049.0,0.0,205.5421,-179.7552,1.0377,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,15.1226,0.0,125.2608,83.9829
35,2050.0,0.0,216.8384,-179.7552,1.0175999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,13.3429,0.0,138.2515,86.2527
36,2051.0,0.0,237.5713,-171.766,1.348,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,0.0,137.6686,86.2527
37,2052.0,0.0,238.3611,-169.7599,1.6621,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,0.0,149.4824,86.2527
38,2053.0,0.0,238.3611,-172.2787,1.6621,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,4.8902,0.0,162.8036,86.2527
39,2054.0,0.0,238.4315,-175.4729,1.7986,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,11.3503,0.0,175.7882,86.2527
