,y,Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Libya - Egypt Historic EL trade link
0,2015.0,0.0,0.0,11.9837,5.0931
1,2016.0,0.0,0.0,11.9837,5.0931
2,2017.0,0.0,0.0,11.9837,5.0931
3,2018.0,0.0,0.0,11.9837,5.0931
4,2019.0,0.0,0.0,11.9837,5.0931
5,2020.0,0.0,0.0,11.9837,5.0931
6,2021.0,8.9878,63.7244,59.9184,5.0931
7,2022.0,0.8274,0.0,59.9184,5.0931
8,2023.0,0.0,0.0,59.9184,5.0931
9,2024.0,0.0,0.0,57.508,5.0931
10,2025.0,0.0,0.0,59.9184,5.0931
11,2026.0,0.0,0.0,49.7406,5.0931
12,2027.0,0.0,0.0,47.4839,5.0931
13,2028.0,0.0,0.0,49.0731,5.0931
14,2029.0,0.0,0.0,43.0287,5.0931
15,2030.0,0.0,0.0,55.0491,5.0931
16,2031.0,0.0,0.0,44.601,5.0931
17,2032.0,0.0,0.0,38.1024,5.0931
18,2033.0,0.0,0.0,38.2963,5.0931
19,2034.0,0.0,0.0,38.3854,5.0931
20,2035.0,0.0,0.0,57.3586,5.0931
21,2036.0,0.0,0.0,56.9724,5.0931
22,2037.0,0.0,0.0,56.7352,5.0931
23,2038.0,0.0,0.0,57.4114,5.0931
24,2039.0,0.0,0.0,54.7483,5.0931
25,2040.0,0.0,0.0,52.6269,5.0931
26,2041.0,0.0,0.0,53.6613,5.0931
27,2042.0,0.0,0.0,54.4988,5.0931
28,2043.0,0.0,0.0,54.949,5.0931
29,2044.0,0.0,0.0,56.6086,5.0931
30,2045.0,0.0,0.0,57.9951,5.0931
31,2046.0,0.0,0.0,52.9625,5.0931
32,2047.0,0.0,0.0,75.4887,5.0931
33,2048.0,0.0,0.0,165.1146,5.0931
34,2049.0,0.0,0.0,157.6634,5.0931
35,2050.0,0.0,0.0,152.1425,5.0931
36,2051.0,0.0,0.0,150.775,5.0931
37,2052.0,0.0,0.0,148.1657,5.0931
38,2053.0,0.0,0.0,144.771,5.0931
39,2054.0,0.0,0.0,141.5994,5.0931
40,2055.0,0.0,0.0,144.1204,5.0931
41,2056.0,0.0,0.0,139.8197,5.0931
42,2057.0,0.0,0.0,134.6379,5.0931
43,2058.0,0.0,0.0,133.3097,5.0931
44,2059.0,0.0,0.0,137.2693,5.0931
45,2060.0,0.0,0.0,134.4148,5.0931
46,2061.0,0.0,0.0,132.376,5.0931
47,2062.0,0.0,0.0,128.0938,5.0931
48,2063.0,0.0,0.0,123.0665,5.0931
49,2064.0,0.0,0.0,119.5911,5.0931
50,2065.0,0.0,0.0,122.2858,5.0931
51,2066.0,0.0,0.0,124.8729,5.0931
52,2067.0,0.0,0.0,125.8608,5.0931
53,2068.0,0.0,0.0,123.9313,5.0931
54,2069.0,0.0,0.0,122.2358,5.0931
55,2070.0,0.0,0.0,118.7194,5.0931
