,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,0.010175,0.0,0.0
1,2016.0,0.0,0.0,0.040175,0.0,0.0
2,2017.0,0.0,0.0,0.040175,0.0,0.0
3,2018.0,0.0,0.0,0.09017499999999999,0.0,0.0
4,2019.0,0.0,0.0,0.09017499999999999,0.0,0.0
5,2020.0,0.0,0.0,0.190175,0.0,0.0
6,2021.0,0.4,0.4,0.44016625,0.1,0.1
7,2022.0,0.6,0.6,0.6901575,0.15,0.15
8,2023.0,0.6,0.6,0.9401487500000001,0.2,0.2
9,2024.0,0.6,0.6,1.19014,0.25,0.25
10,2025.0,0.6,0.6,1.44013125,0.3,0.3
11,2026.0,0.6,0.6,1.5221092106137204,0.35,0.35
12,2027.0,0.6,0.6,1.5507048013610192,0.4,0.4
13,2028.0,0.6,0.6,1.550696051361019,0.44999999999999996,0.4002096445982958
14,2029.0,0.6,0.6,1.5792148364963159,0.5,0.5
15,2030.0,0.6,0.6,1.5792060864963158,0.5,0.5
16,2031.0,0.6,0.6,2.003352867864043,0.6,0.5627213664427385
17,2032.0,0.6,0.6,2.5033441178640428,0.6499999999999999,0.6499999999999999
18,2033.0,0.6,0.6,3.003335367864043,0.7,0.7
19,2034.0,0.6,0.6,3.503326617864043,0.75,0.75
20,2035.0,0.6,0.6,4.003317867864043,0.7999999999999999,0.7999999999999999
21,2036.0,0.6,0.6,4.503309117864042,0.8499999999999998,0.8499999999999998
22,2037.0,0.6,0.6,5.003300367864042,0.8999999999999998,0.8999999999999998
23,2038.0,0.6,0.6,5.503291617864042,0.9499999999999998,0.9499999999999998
24,2039.0,0.6,0.6,6.003282867864042,0.9999999999999999,0.9999999999999999
25,2040.0,0.6,0.6,6.493282867864042,1.0499999999999998,1.05
26,2041.0,0.6,0.6,7.2132828678640415,1.0999999999999999,1.1
27,2042.0,0.6,0.6,7.9632828678640415,1.15,1.15
28,2043.0,0.6,0.6,8.663282867864044,1.1999999999999997,1.2
29,2044.0,0.6,0.6,9.413282867864044,1.2499999999999998,1.25
30,2045.0,0.6,0.6,10.063274117864044,1.3,1.3000000000000003
31,2046.0,0.19999999999999996,0.19999999999999996,10.563274117864044,1.3500000000000003,1.3500000000000003
32,2047.0,0.0,0.0,11.063274117864044,1.4000000000000004,1.3999999999999997
33,2048.0,0.0,0.0,11.563274117864044,1.45,1.4500000000000004
34,2049.0,0.0,0.0,12.063274117864044,1.5,1.5
35,2050.0,0.0,0.0,12.563274117864044,1.5500000000000003,1.5500000000000003
36,2051.0,0.0,0.0,13.231287407250322,1.6,1.5999999999999999
37,2052.0,0.0,0.0,13.952683066503024,1.65,1.65
38,2053.0,0.0,0.0,14.702683066503024,1.7,1.7
39,2054.0,0.0,0.0,15.424155531367727,1.75,1.75
40,2055.0,0.0,0.0,16.174155531367727,1.7999999999999998,1.8
41,2056.0,0.0,0.0,16.5,1.8499999999999999,1.85
42,2057.0,0.0,0.0,16.75,1.9,1.9
43,2058.0,0.0,0.0,17.0,1.9499999999999997,1.95
44,2059.0,0.0,0.0,17.25,2.0,2.0
45,2060.0,0.1694307341705065,0.0,17.5,2.05,2.05
46,2061.0,0.7928130894404362,0.0,18.0,2.1,2.0999999999999996
47,2062.0,1.4602421379497226,0.0,18.5,2.15,2.15
48,2063.0,2.051203059413145,0.0,19.0,2.2,2.2
49,2064.0,2.59931333303042,0.0,19.5,2.25,2.25
50,2065.0,4.599313333030421,0.0,20.0,2.2999999999999994,2.3
51,2066.0,6.599313333030421,0.0,20.25,2.3499999999999996,2.35
52,2067.0,8.59931333303042,0.0,20.5,2.4,2.4
53,2068.0,9.799999999999999,0.0,20.75,2.45,2.45
54,2069.0,9.999999999999998,0.0,21.0,2.5,2.5
55,2070.0,10.199999999999998,2.0,21.25,2.55,2.55
