,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
43,2059.0,1.5,0.0,1.023,0.0,0.0,0.0,0.95,0.0,1.455,0.0,0.0,0.0,0.0,0.0
44,2060.0,1.5,0.0,1.466,0.0,0.0,0.1,0.95,0.0,1.5,0.0,0.0,0.0,0.0,0.0
45,2061.0,0.5,0.0,2.439,0.0,0.0,0.623,1.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,2062.0,0.5,0.0,2.695,0.0,0.0,0.701,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,2063.0,0.5,0.0,2.839,0.0,0.0,0.757,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2064.0,0.5,0.0,2.833,0.0,0.0,0.779,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,2065.0,0.5,0.0,3.133,0.0,0.0,2.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,2066.0,1.5,0.0,2.521,0.0,0.0,2.0,1.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0
51,2067.0,1.5,0.0,3.382,0.0,0.0,2.0,1.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0
52,2068.0,1.5,0.0,5.522,0.0,0.0,0.546,1.222,0.0,2.0,0.0,0.0,0.0,0.0,0.0
53,2069.0,1.5,0.0,6.309,0.0,0.0,0.2,1.378,0.0,2.0,0.0,0.0,0.0,0.0,0.0
54,2070.0,1.5,0.0,5.195,0.0,0.0,2.2,1.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
