,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Geothermal,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction,Uranium extraction,Transmission & Distribution,Backstop,Biofuel and Biomass production,Biomass exports,Coal exports,Crude oil exports,HFO exports,LFO exports
0,2015.0,0.0,249.86,4934.32,8461.98,0.0,0.0,0.0,0.0,0.01,0.0,440.32,0.16,105.36,64.49,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,240.03,5057.09,8461.98,0.0,0.0,0.0,0.0,0.01,0.0,586.13,0.15,99.98,62.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,240.03,5145.66,8461.98,0.0,0.0,0.0,0.0,0.01,0.0,586.13,0.2,94.46,60.93,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,240.03,4880.04,8461.98,0.0,0.0,0.0,0.0,0.02,0.0,586.13,0.2,98.02,61.57,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,240.03,4882.5,8461.98,0.0,0.0,0.0,0.0,0.02,0.0,586.13,0.22,97.03,60.72,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,240.03,5373.53,8461.98,0.0,0.0,0.01,0.0,0.02,0.0,586.13,0.23,96.03,59.87,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,228.03,4071.35,12002.45,0.0,0.32,0.03,0.0,0.02,0.0,622.44,0.23,97.38,61.02,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,216.02,4439.3,12002.45,0.0,0.48,0.05,0.0,0.02,0.0,658.75,0.24,98.72,62.16,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,204.03,4865.69,12248.9,0.0,0.64,0.06,0.0,0.04,0.0,695.05,0.24,100.06,63.3,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024.0,0.0,192.03,5059.82,12248.9,0.0,0.64,0.08,0.0,0.04,0.0,731.36,0.24,101.4,64.44,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
