,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
0,2015.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35,0.6,0.0,0.25,1.95,0.0,0.0,0.01,0.0,0.0,0.24,0.0
1,2016.0,0.25,0.0,1.0,0.0,0.0,0.0,0.522,0.0,0.0,0.5,0.65,0.0,0.0,0.03,0.0,0.0,0.2,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,9.6,4.8,1.95,0.0,0.0,0.05,0.0,0.0,0.34,0.0
4,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000875000000002,0.0,0.0,0.0,0.0
5,2021.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.25,0.1,0.1,0.25,0.0
6,2022.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.25,0.04999999999999999,0.04999999999999999,0.25,0.25
7,2023.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05000000000000002,0.05000000000000002,0.25,0.0
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04999999999999999,0.04999999999999999,0.25,0.0
9,2025.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04999999999999999,0.04999999999999999,0.25,0.0
10,2026.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08198671061372048,0.04999999999999999,0.04999999999999999,0.25,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02860434074729863,0.05000000000000007,0.05000000000000007,0.25,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999993,0.00020964459829574816,0.25,0.0
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02852753513529677,0.05000000000000007,0.09979035540170425,0.25,0.0
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
15,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4241555313677268,0.09999999999999998,0.06272136644273844,0.5,0.0
16,2032.0,0.0,0.0,0.0,0.0,0.14585394605848306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04999999999999993,0.08727863355726151,0.5,0.0
17,2033.0,0.0,0.0,0.0,0.0,0.10414605394151699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05000000000000002,0.050000000000000044,0.5,0.0
18,2034.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.050000000000000044,0.050000000000000044,0.5,0.0
19,2035.0,0.0,0.18646763527168914,0.0,0.0,0.0,0.0,0.0,0.07988424560426656,0.0,0.42302860186047886,0.0,0.0,0.0,0.5,0.04999999999999996,0.04999999999999993,0.5,0.0
20,2036.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6753627960832792,0.0,0.0,0.0,0.0,0.0,0.5,0.04999999999999982,0.04999999999999982,0.5,0.0
21,2037.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5437826031597873,0.10973767633910475,0.0,0.0,0.0,0.0,0.5,0.050000000000000044,0.050000000000000044,0.5,0.0
22,2038.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42220429703576534,0.0,0.0,0.0,0.0,0.5,0.050000000000000044,0.050000000000000044,0.5,0.0
23,2039.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.05000000000000002,0.050000000000000044,0.5,0.0
24,2040.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6663696430600279,0.0,0.0,0.5,0.050000000000000044,0.050000000000000044,0.5,0.0
25,2041.0,0.0,1.5,0.0,0.0,0.25,0.5,0.0,1.5,0.0,0.5528829026056435,0.0,0.0,0.0,0.75,0.14999999999999994,0.1499999999999999,0.75,0.0
26,2042.0,0.0,1.3135323647283101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10167366733173601,0.8059977940397652,0.0,0.0,0.75,0.09999999999999984,0.09999999999999987,0.75,0.0
27,2043.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3271173734574178,1.5,0.0,1.5,0.0,0.0,0.75,0.10000000000000009,0.10000000000000009,0.75,0.0
28,2044.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016865708518852,0.3266898579197808,0.0,0.0,0.75,0.1,0.10000000000000009,0.75,0.0
29,2045.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.706286947339742,0.0,0.0,0.0,0.75,0.10000000000000006,0.10000000000000009,0.75,0.0
30,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2522105333801312,1.5,1.5,0.0,0.0,0.0,0.75,0.10000000000000031,0.1000000000000002,0.75,0.0
31,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.75,0.1,0.09999999999999964,0.75,0.0
32,2048.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.75,0.09999999999999962,0.050209644598296126,0.75,0.0
33,2049.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.75,0.10000000000000009,0.1497903554017042,0.75,0.0
34,2050.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3703793302465914,1.5,0.0,0.0,0.0,0.0,0.75,0.050000000000000266,0.050000000000000266,0.75,0.0
35,2051.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0310262609062113,0.7607660424560986,0.0,0.0,0.0,0.75,0.1499999999999999,0.11272136644273806,0.75,0.0
36,2052.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.1578595415382456,0.0,0.0,0.0,0.0,0.75,0.09999999999999964,0.1372786335572615,0.75,0.0
37,2053.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.32899229983028555,0.0,0.0,0.0,0.75,0.10000000000000009,0.10000000000000009,0.75,0.0
38,2054.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5505278007506264,1.5,0.0,0.0,0.0,0.75,0.09999999999999998,0.10000000000000009,0.75,0.0
