,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new)
0,2015.0,0.0,0.0,1.0,0.35,0.6,0.0,0.25,1.95
1,2016.0,0.0,1.0,0.0,0.522,0.0,0.0,0.5,0.65
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33
3,2018.0,0.0,0.0,0.0,0.0,0.0,9.6,4.8,1.95
4,2025.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2035.0,0.0,0.0,0.0,0.0,0.4323072371450457,0.1750714338137466,0.0,0.0
7,2036.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9765683598059607,0.0
8,2037.0,1.0,0.0,0.0,0.0,0.9078525136151333,0.0,0.044718847606462706,0.0
9,2038.0,1.0,0.0,0.0,0.0,0.9436952539932882,0.0,0.0,0.0
10,2039.0,1.0,0.0,0.0,0.0,1.0,0.8779213751952206,1.0,0.0
11,2040.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7490505024185823
12,2041.0,1.5,0.0,0.0,0.0,1.5,0.0,0.9650585968322312,0.0
13,2042.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5885823110943195
14,2043.0,0.5,0.0,0.0,0.0,1.5,0.0,0.36299246466557517,1.5
15,2044.0,0.5,0.0,0.0,0.0,0.0,0.4754754845060441,0.7827723879040333,0.033475443588710845
16,2045.0,0.5,0.0,0.0,0.0,0.7120821065645381,1.5,0.0,0.0
17,2046.0,0.0,0.0,0.0,0.0,0.39662014688882846,1.5,1.5,0.0
18,2047.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5
19,2048.0,1.5,0.0,0.0,0.0,1.5,1.5,1.5,1.5
20,2049.0,0.5,0.0,0.0,0.0,1.5,1.5,0.8752370113753513,0.0
21,2050.0,0.5,0.0,0.0,0.0,0.0,0.30417798115942396,1.5,0.0
22,2051.0,0.5,0.0,0.0,0.0,0.0,1.5,0.293340240417346,0.0
23,2052.0,0.5,0.0,0.0,0.0,1.5,0.2790768948298556,0.0,0.0
24,2053.0,0.5,0.0,0.0,0.0,0.0,0.35875413652574967,1.5,0.0
25,2054.0,0.5,0.0,0.0,0.0,0.4209721689624766,0.0,1.5,0.0
26,2055.0,1.5,0.0,0.0,0.0,1.5,1.5,0.6620508982299361,0.0
27,2056.0,1.5,0.0,0.0,0.0,1.5,1.5,1.1825326075905487,0.0
28,2057.0,1.5,0.0,0.0,0.0,0.0,1.3450305049508973,0.0,0.0
29,2058.0,1.5,0.0,0.0,0.0,0.0,0.0,1.1735544601228518,0.0
30,2059.0,1.5,0.0,0.0,0.0,0.0,1.0232155683386963,0.0,0.0
31,2060.0,1.5,0.0,0.0,0.0,1.4637125284821741,0.0,0.0,0.001926772283607963
32,2061.0,0.5,0.0,0.0,0.0,0.5409588506872538,1.696926849123498,0.0,0.20122812005215845
33,2062.0,0.5,0.0,0.0,0.0,0.0,0.0,2.3098732005806375,0.3848022538901386
34,2063.0,0.5,0.0,0.0,0.0,0.0,0.0,2.3982352528847164,0.4412706796342802
35,2064.0,0.5,0.0,0.0,0.0,2.5,0.010146044504019004,0.0,0.3232484200495287
36,2065.0,0.5,0.0,0.0,0.0,0.0,0.0,2.487888775548897,0.6451093507143123
37,2066.0,1.5,0.0,0.0,0.0,0.020980928483144833,2.5,0.0,0.0
38,2067.0,1.5,0.0,0.0,0.0,0.660830728561829,0.0,2.5,0.22139391691337368
39,2068.0,1.5,0.0,0.0,0.0,2.5,1.3664749069502975,0.0,1.655559388308875
40,2069.0,1.5,0.0,0.0,0.0,1.1470386376314177,2.5,2.5,0.1616418678121546
41,2070.0,1.5,0.0,0.0,0.0,0.0,2.3471062412215016,2.5,0.3480383640829875
