,y,CO2
0,2015,204.5932
1,2016,202.0502
2,2017,202.3316
3,2018,202.2468
4,2019,202.5447
5,2020,202.7921
6,2021,191.1226
7,2022,198.9726
8,2023,207.4828
9,2024,213.2719
10,2025,228.2003
11,2026,243.9968
12,2027,247.454
13,2028,250.6466
14,2029,254.3428
15,2030,256.4147
16,2031,262.1029
17,2032,267.704
18,2033,272.8773
19,2034,279.4186
20,2035,283.9686
21,2036,293.1527
22,2037,302.3179
23,2038,311.4275
24,2039,320.1274
25,2040,317.2716
26,2041,326.4512
27,2042,305.4247
28,2043,314.1663
29,2044,320.3155
30,2045,326.433
31,2046,332.4803
32,2047,335.7123
33,2048,339.9195
34,2049,347.5229
35,2050,354.5157
36,2051,361.7633
37,2052,369.1006
38,2053,376.6428
39,2054,384.3295
40,2055,383.8685
41,2056,384.053
42,2057,396.3031
43,2058,408.5067
44,2059,420.5726
45,2060,433.2542
46,2061,442.1533
47,2062,451.4179
48,2063,460.9428
49,2064,470.5677
50,2065,478.4801
51,2066,486.056
52,2067,493.9882
53,2068,504.0798
54,2069,514.8279
55,2070,523.385
