,y,Egypt - Turkey Historic and Planned NG trade link,Israel - Egypt Planned NG trade link,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2015.0,-390.1669,0.0,-725.4044,0.0,2564.997
1,2016.0,-390.1669,0.0,-711.0205,0.0,2565.9251
2,2017.0,-390.1669,0.0,-711.0205,0.0,2595.2713
3,2018.0,-390.1669,0.0,-711.0205,0.0,2615.8644
4,2019.0,-780.3338,0.0,-711.0205,0.0,3039.3196
5,2020.0,-780.3338,0.0,-711.0205,0.0,3067.516
6,2021.0,-780.3338,0.0,-711.0205,0.0,2969.5009
7,2022.0,-780.3338,0.0,-711.0205,0.0,3089.1472
8,2023.0,-780.3338,0.0,-711.0205,0.0,3212.3674
9,2024.0,-780.3338,0.0,-711.0205,0.0,3258.2228
10,2025.0,-780.3338,0.0,-711.0205,0.0,3146.6723
11,2026.0,-780.3338,0.0,-711.0205,0.0,3048.2593
12,2027.0,-780.3338,0.0,-711.0205,0.0,3084.1125
13,2028.0,-780.3338,0.0,-711.0205,0.0,3115.2235
14,2029.0,-780.3338,0.0,-711.0205,0.0,3154.1754
15,2030.0,-780.3338,0.0,-711.0205,0.0,3162.0264
16,2031.0,-780.3338,0.0,-711.0205,0.0,3260.4062
17,2032.0,-780.3338,0.0,-711.0205,0.0,3356.025
18,2033.0,-780.3338,0.0,-711.0205,0.0,3433.3898
19,2034.0,-780.3338,0.0,-711.0205,0.0,3447.9058
20,2035.0,-780.3338,0.0,-711.0205,0.0,3460.527
21,2036.0,-780.3338,0.0,-711.0205,0.0,3496.4259
22,2037.0,-780.3338,0.0,-711.0205,0.0,3533.1391
23,2038.0,0.0,0.0,-711.0205,0.0,2776.8274
24,2039.0,0.0,227.2817,-711.0205,0.0,2573.622
25,2040.0,0.0,227.2817,-525.2462,0.0,2402.3282
26,2041.0,0.0,227.2817,-525.2462,0.0,2407.2331
27,2042.0,0.0,227.2817,-0.0,0.0,1813.0393
28,2043.0,0.0,227.2817,-0.0,1876.2784,0.0
29,2044.0,0.0,227.2817,-0.0,1935.135,0.0
30,2045.0,0.0,227.2817,-0.0,1993.3496,0.0
31,2046.0,0.0,227.2817,-0.0,2105.3122,0.0
32,2047.0,0.0,227.2817,-0.0,2209.9677,0.0
33,2048.0,0.0,227.2817,-0.0,2138.3212,0.0
34,2049.0,0.0,227.2817,-0.0,2224.4878,0.0
35,2050.0,0.0,227.2817,-0.0,2297.3174,0.0
36,2051.0,0.0,227.2817,-0.0,2373.5939,0.0
37,2052.0,0.0,227.2817,-0.0,2446.5688,0.0
38,2053.0,0.0,227.2817,-0.0,2528.003,0.0
39,2054.0,0.0,227.2817,-0.0,2613.5862,0.0
40,2055.0,0.0,227.2817,-0.0,2777.1507,0.0
41,2056.0,0.0,227.2817,-0.0,2970.0842,0.0
42,2057.0,0.0,227.2817,-0.0,3013.6309,0.0
43,2058.0,0.0,227.2817,-0.0,3063.6111,0.0
44,2059.0,0.0,227.2817,-0.0,3121.9194,0.0
45,2060.0,0.0,227.2817,-0.0,3188.6259,0.0
46,2061.0,0.0,227.2817,-0.0,3294.6394,0.0
47,2062.0,0.0,227.2817,-0.0,3404.4089,0.0
48,2063.0,0.0,227.2817,-0.0,3518.0436,0.0
49,2064.0,0.0,227.2817,-0.0,3628.117,0.0
50,2065.0,0.0,227.2817,-0.0,3713.693,0.0
51,2066.0,0.0,227.2817,-0.0,3798.9999,0.0
52,2067.0,0.0,227.2817,-0.0,3893.4578,0.0
53,2068.0,0.0,227.2817,-0.0,4010.2857,0.0
54,2069.0,0.0,227.2817,-0.0,4140.9234,0.0
55,2070.0,0.0,227.2817,-0.0,4237.043,0.0
