,y,Aswan 1,Aswan 2,Esna,High Aswan Dam,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),New Assiut Barrage,Naga Hamadi
41,2056.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
42,2057.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
43,2058.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
44,2059.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
45,2060.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
46,2061.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
47,2062.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
48,2063.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
49,2064.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
50,2065.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
51,2066.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
52,2067.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
53,2068.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
54,2069.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
55,2070.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064
