,y,Coal power plant - Air cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Upper Mandaya,Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
0,2015.0,0.0,0.0,0.0,0.0,0.34980358648725646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.151
1,2016.0,0.0,0.0,0.0,0.0,0.07153629726766868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.30313688710375086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.30349762660992224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2023.0,0.0,0.2,0.0,0.0,0.0,0.0,0.053938408913994734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024.0,0.0,0.25,0.0,0.0,0.0,0.0,0.04686893541016877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2025.0,0.0,0.2,0.0,0.0,0.0,0.0,0.13545549112681532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071386249967249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3270798205757821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2028.0,0.0,0.0,6.545471682125361e-05,0.0,0.0,0.2705864879988703,0.07759336262285912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.3706827269424775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.39450606350118866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2031.0,0.0,0.0,0.0,0.0,0.0,0.23431944973125332,0.0,0.0,0.0,0.530843924597657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057619337208101,0.966795189042988,0.0,0.0,0.0,0.0,0.0,0.0
17,2033.0,0.0,0.08910450971700598,0.0,0.0,0.0,0.0,0.0,0.430454048454854,0.0,0.0,0.0,0.6463608516137083,0.0,0.0,0.0,0.0,0.0
18,2034.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109782952608252,0.0,0.0,0.0,0.0,0.0
19,2035.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931273554537096,0.0,0.0,0.15979221074124528,0.0,0.0
20,2036.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.128906025205732,0.0,0.0,0.4959569309456273,0.208220719108737,0.0,0.33959790349788754,0.0,0.0
