,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
0,2021.0,-3.2175,3.25
1,2022.0,-3.2175,3.25
2,2023.0,-3.2175,3.636
3,2024.0,-3.2175,3.9696
4,2025.0,-3.2175,4.9321
5,2026.0,-3.2175,7.1088
6,2027.0,-3.2175,9.4154
7,2028.0,-3.2175,11.2091
8,2029.0,-3.2175,19.6255
9,2030.0,-3.2175,20.1171
10,2031.0,-3.2175,25.4822
11,2032.0,-3.2175,31.1008
12,2033.0,-3.2175,36.6096
13,2034.0,-3.2175,35.8736
14,2035.0,-3.2175,36.4757
15,2036.0,-3.2175,36.3036
16,2037.0,0.0,30.779
17,2038.0,0.0,27.3295
18,2039.0,0.0,25.0433
19,2040.0,0.0,31.5724
20,2041.0,0.0,27.2122
21,2042.0,0.0,24.9242
22,2043.0,0.0,26.4189
23,2044.0,0.0,26.1434
24,2045.0,0.0,25.897
25,2046.0,0.0,29.8539
26,2047.0,0.0,27.7114
27,2048.0,0.0,29.4017
28,2049.0,0.0,30.7196
29,2050.0,0.0,32.729
30,2051.0,0.0,27.7191
31,2052.0,0.0,24.0166
32,2053.0,0.0,21.9436
33,2054.0,0.0,21.3361
34,2055.0,0.0,20.683
35,2056.0,0.0,19.9178
36,2057.0,0.0,18.7293
37,2058.0,0.0,15.5311
38,2059.0,0.0,13.1684
39,2060.0,0.0,9.9118
40,2061.0,0.0,8.8308
41,2062.0,0.0,8.8089
42,2063.0,0.0,8.7871
43,2064.0,0.0,8.4612
44,2065.0,0.0,7.4663
45,2066.0,0.0,7.0975
46,2067.0,0.0,7.4345
47,2068.0,0.0,7.5935
48,2069.0,0.0,5.9978
49,2070.0,0.0,5.9882
