,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
20,2035.0,0.0,0.0,5.3927,59.9184,-3.1083,43.6691,0.1072,0.0017,0.0178,1.2067,47.4133,2.3368,0.2604,0.0,0.0,0.1708,15.9037,2.5987,2.5396,0.0,4.6479,6.0748,14.1708,0.0,0.0118,1.0508,0.0,2.0022
21,2036.0,0.0,0.0,5.3927,59.9184,-1.8981000000000001,50.3705,0.0965,0.0017,0.02,1.2395,47.6772,2.3368,0.2928,0.0,0.0,0.1367,16.0397,2.4688,2.5396,0.7582,4.6479,6.0748,17.0388,1.183,0.0089,3.2299,0.0,1.9137
22,2037.0,0.0,0.0,5.3927,59.9184,-1.5544,57.0719,0.0858,0.0017,0.0178,1.2395,47.2203,2.3368,0.2604,0.0,0.0,0.1025,15.2963,2.0835,2.5396,0.7582,4.6479,6.0748,17.0388,1.183,0.0059,12.9057,0.0,1.8253
23,2038.0,0.0,0.0,5.3927,59.9184,-2.1299,63.7733,0.0751,0.0014,0.0178,1.1022,46.3469,2.3368,0.2604,0.0,0.0,0.0683,14.4063,1.3149,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.003,22.588,0.0,1.7369
24,2039.0,0.0,0.0,5.3927,59.9184,0.3549,70.4747,0.0643,0.0007,0.0178,1.1022,46.5103,2.3368,0.2604,0.0,0.0,0.0342,13.0848,1.3051,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,32.2702,0.0,1.6485
25,2040.0,0.0,0.0,5.3927,59.9184,1.1694,77.1761,0.0536,0.0,0.02,1.2395,47.1701,2.3368,0.2928,0.0,0.0,0.0,13.2619,3.8824,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,41.9525,0.0,0.0
26,2041.0,0.0,0.0,5.3927,59.9184,0.7677999999999998,83.8775,0.0429,0.0,0.0178,1.1022,46.2114,2.3368,0.2604,0.0,0.0,0.0,11.9341,3.0303,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,54.3184,0.0,0.0
27,2042.0,0.0,0.0,5.3927,59.9184,0.5835999999999997,90.5789,0.0322,0.0,0.0178,1.1022,45.4878,2.3368,0.2604,0.0,0.0,0.0,11.0358,2.7292,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,66.2107,0.0,0.0
28,2043.0,0.0,0.0,5.3927,59.9184,0.8315999999999999,97.2803,0.0214,0.0002,0.0178,1.1022,45.6709,2.3368,0.2604,0.0,0.0,0.0,12.0051,2.7081,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,76.0548,0.0,0.0
29,2044.0,0.0,0.0,5.3927,59.9184,-0.1192000000000002,103.9817,0.0107,0.0002,0.0178,1.1022,45.0586,2.3368,0.2604,0.0,0.0,0.0,11.9521,2.6565,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,84.707,4.8042,0.0
30,2045.0,0.0,0.0,5.3927,59.9184,-0.8035000000000001,107.4665,0.0,0.0002,0.0178,1.1022,44.5203,2.2298,0.2928,0.0,0.0,0.0,11.8411,2.6565,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,96.9835,9.6084,0.0
31,2046.0,0.0,0.0,5.3927,59.9184,0.7635999999999998,109.6109,0.0,0.0002,0.0178,1.1022,45.479,2.2508,0.2928,0.0,0.0,0.0,13.45,3.2322,2.5396,0.7582,4.6479,6.0748,17.0388,4.4467,0.0,106.2262,14.4127,0.0
32,2047.0,0.0,0.0,5.3927,59.9184,-0.8026,113.6317,0.0,0.0002,0.0141,0.876,43.4271,1.8508,0.2394,0.0,0.0,0.0,12.7547,2.8403,2.1754,0.6967,4.6479,6.0748,17.0388,3.7058,0.0,124.7524,19.2169,0.0
33,2048.0,0.0,0.0,5.3927,59.9184,-0.8218999999999999,114.972,0.0,0.0002,0.0141,0.876,43.114,1.8508,0.2394,0.0,0.0,0.0,12.5228,3.7509,2.2766,0.5717,3.4449,6.0748,16.1648,4.4467,0.0,142.1286,24.0211,0.0
34,2049.0,0.0,0.0,5.3927,59.9184,-0.6482000000000001,114.972,0.0,0.0002,0.0141,0.876,41.6703,1.6974,0.2394,0.0,0.0,0.0,13.5579,3.6196,2.2797,0.6967,4.1817,5.4134,16.0328,4.4467,0.0,161.4931,28.8253,0.0
35,2050.0,0.0,0.0,5.3927,59.9184,-0.14179999999999993,116.3123,0.0,0.0002,0.012,0.7402,40.8173,1.6974,0.2394,0.0,0.0,0.0,15.3683,3.2401,2.2797,0.6967,4.1817,5.4134,15.4191,4.0213,0.0,180.8576,33.6295,0.0
36,2051.0,0.0,0.0,5.3927,59.9184,-1.5627,120.5127,0.0,0.0002,0.012,0.7402,37.4881,1.6974,0.261,0.0,0.0,0.0,13.571,2.3795,1.8018,0.5605,4.1817,5.4134,15.1131,3.1632,0.0,196.1637,38.4337,0.0
37,2052.0,0.0,0.0,5.3927,59.9184,-1.8386,118.9889,0.0,0.0002,0.0082,0.8508,35.3357,2.0807,0.2069,1.5074,0.0,0.0,12.6351,1.463,1.8018,0.5605,3.3704,4.3238,15.415,3.4644,0.0,212.1947,43.238,0.0
38,2053.0,0.0,0.0,5.3927,59.9184,-1.8386,118.9267,0.0,0.0,0.0082,0.6447,33.5769,2.0765,0.2928,1.5074,0.0,0.0,11.7001,1.2456,1.8018,0.5605,3.3704,4.3238,13.4618,3.1632,0.0,228.9719,48.0422,0.0
39,2054.0,0.0,0.0,5.3927,59.9184,-1.8386,117.1384,0.0,0.0,0.0082,0.6447,31.4277,2.0765,0.2928,1.5074,0.0,0.0,11.3542,1.2456,1.8018,0.5605,3.3704,4.3238,12.1643,3.1632,0.0,248.3364,51.0649,0.0
40,2055.0,0.0,0.0,5.3927,59.9184,-1.8386,114.7014,0.0,0.0,0.0082,0.5089,29.8112,2.0723,0.2922,1.5074,0.0,0.0,10.979,1.2456,1.8018,0.5605,3.3704,4.3238,11.0091,3.1632,0.0,266.6694,55.8691,0.0
41,2056.0,0.0,0.0,5.3927,59.9184,-1.8386,113.9342,0.0,0.0,0.0082,0.5089,28.4975,2.0723,0.2922,1.5074,0.0,0.0,10.5334,1.2456,1.8018,0.5605,3.228,4.3238,10.5833,2.7681,0.0,283.8419,60.5443,0.0
