,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
45,2060.0,0.0,0.0,5.3927,59.9184,-2.6705,51.4491,0.0,0.0665,0.0263,2.3377,145.3289,0.0,13.9882,2.3356,0.0,331.8936,67.1311,0.0
46,2061.0,0.0,0.0,4.894,52.9097,-2.7824999999999998,45.1485,0.0,0.133,0.0263,2.1587,150.044,0.0,13.4406,2.2333,0.0,351.2581,66.8952,0.0
47,2062.0,0.0,0.0,5.3927,55.5306,-3.7264,55.8132,0.0,0.133,0.0143,1.974,135.6146,0.0,12.2396,1.4471,0.0,370.6226,68.2401,0.0
48,2063.0,0.0,0.0,4.5616,53.9298,-3.7264,66.0838,0.0,0.133,0.0143,1.8853,130.0507,0.0,11.3721,0.9318,0.0,387.29,69.9805,0.0
49,2064.0,0.0,0.0,4.5616,54.7564,-3.7264,74.7361,0.0,0.1521,0.0263,2.1557,121.4795,0.0,12.624,2.1656,0.0,387.29,83.7435,0.0
50,2065.0,0.0,8.1501,5.3927,59.9184,-3.7264,59.4975,0.0,0.0977,0.0263,1.7132,143.3105,0.0,10.4786,0.0,0.0,387.29,88.5477,0.0
51,2066.0,0.0,13.7032,5.3927,59.9184,-3.1724000000000006,78.6011,0.0,0.0593,0.0263,1.5293,139.8708,0.0,10.568,0.0,0.0,387.29,88.7706,0.0
52,2067.0,0.0,19.4919,5.3927,59.9184,-3.1724000000000006,74.9992,0.0,0.0593,0.0263,1.2637,160.2494,0.0,10.6632,0.0,0.0,387.29,88.8035,0.0
53,2068.0,0.0,24.9266,5.3927,59.9184,-3.1724000000000006,89.9384,0.0,0.0753,0.0333,1.2637,158.3123,0.0,6.6714,0.0,8.4903,387.29,88.8035,0.0
54,2069.0,0.0,25.9917,5.3927,59.9184,-3.1724000000000006,95.607,0.0,0.0722,0.0333,1.2637,151.1373,0.0,6.894,0.0,32.2125,387.29,88.8035,0.0
55,2070.0,0.0,26.4169,5.3927,59.9184,-3.1724000000000006,119.4778,0.0,0.0593,0.0263,1.2637,134.6628,0.0,7.1659,0.0,48.1981,387.29,88.8035,0.0
